ep_reward_mean,policy_loss,approxkl,clipfrac,ep_len_mean,value_loss,fps,true_reward,n_updates,time_elapsed,total_timesteps,policy_entropy,serial_timesteps,explained_variance
4.887650393346921,-0.0060031773,0.024037296,0.28215,55.37,0.052529827,8285,0.13759391,2698,17991.16170859337,134900000,-4.1373596,1349000,0.9915876500308514
4.50173978545121,-0.006206831,0.021688638,0.26660603,52.89,0.04458571,8373,0.13774253,2699,17997.69352054596,134950000,-4.1402464,1349500,0.993132209405303
4.237433239436505,-0.0035989718,0.026004586,0.29971004,49.0,0.053957775,8557,0.1320963,2700,18004.20052576065,135000000,-4.1525154,1350000,0.9920349884778261
4.066424326909619,-0.006293495,0.02553587,0.29708803,49.35,0.071048714,7815,0.13233072,2701,18010.69086909294,135050000,-4.1597533,1350500,0.9890075009316206
4.636252987789922,-0.005378911,0.023948357,0.27951396,54.95,0.045054987,7905,0.13457392,2702,18017.691754817963,135100000,-4.1600566,1351000,0.9926426433958113
3.4194383750773705,-0.0045523667,0.02603421,0.29158998,50.12,0.05551117,8203,0.13579762,2703,18024.603316307068,135150000,-4.146497,1351500,0.9915064573287964
4.106870678251726,-0.0031356139,0.029149415,0.320214,54.61,0.07956784,8200,0.1329965,2704,18031.269370794296,135200000,-4.130681,1352000,0.9884187085554004
3.9568058168841707,-0.006582403,0.02364066,0.28532603,50.37,0.054592762,8280,0.13659973,2705,18037.931520938873,135250000,-4.1253743,1352500,0.9915346140041947
4.6843784291172055,-0.0063837296,0.021869253,0.26649,52.75,0.040580783,8183,0.13403043,2706,18044.568729400635,135300000,-4.1235795,1353000,0.9935936499387026
4.461689652171335,-0.0059182267,0.02199097,0.26804,52.72,0.046409354,8372,0.1383252,2707,18051.033907413483,135350000,-4.1186423,1353500,0.993105061352253
4.236117552866344,-0.0050616027,0.026860652,0.300838,48.72,0.0507188,7948,0.13850999,2708,18057.494959115982,135400000,-4.1277947,1354000,0.9923127968795598
4.525719926052261,-0.0058647334,0.025589656,0.29509208,52.61,0.06317236,8122,0.13402458,2709,18064.08914065361,135450000,-4.1235714,1354500,0.9906879104673862
5.135258495303133,-0.0057226457,0.02510464,0.29420802,55.95,0.052245956,8228,0.13828528,2710,18070.816804647446,135500000,-4.1180587,1355000,0.9914991771802306
3.8108050685464696,-0.007196908,0.021766009,0.26606998,49.9,0.04264667,8314,0.1351547,2711,18077.366695165634,135550000,-4.1086516,1355500,0.9933518217876554
3.868471115770008,-0.0056329174,0.02238734,0.27526996,48.35,0.07012957,8161,0.13071868,2712,18083.696737527847,135600000,-4.09474,1356000,0.9891313994303346
4.159335567679009,-0.005481893,0.024927327,0.291744,55.31,0.047436856,8375,0.13057864,2713,18090.516756534576,135650000,-4.0934095,1356500,0.9922144431620836
5.013130672881525,-0.005334686,0.023843542,0.28441203,54.03,0.065630004,8241,0.1358182,2714,18097.062700033188,135700000,-4.095486,1357000,0.9902855502441525
4.594339215446817,-0.005797437,0.023791365,0.281958,55.47,0.05997974,8017,0.13531445,2715,18103.479923009872,135750000,-4.09152,1357500,0.9907180732116103
4.358810450050806,-0.00583594,0.025930343,0.29732394,51.21,0.05436646,8094,0.13598837,2716,18110.239064216614,135800000,-4.090357,1358000,0.9915938628837466
4.880428117265401,-0.0050823754,0.023899598,0.286124,54.51,0.053941716,7971,0.13121629,2717,18116.960075378418,135850000,-4.0849853,1358500,0.9914734903723001
4.75161520304333,-0.004766332,0.020610487,0.255708,52.63,0.02968432,8270,0.14029822,2718,18123.78028345108,135900000,-4.0789323,1359000,0.995164402294904
4.244499429214048,-0.0068185683,0.022495043,0.26663005,51.3,0.04624918,8161,0.1369244,2719,18130.306181192398,135950000,-4.0817585,1359500,0.9925145446322858
4.469114391946132,-0.006049192,0.022463407,0.273854,55.01,0.04275477,8323,0.13683584,2720,18137.0042116642,136000000,-4.0837975,1360000,0.9934442709200084
4.277723953955428,-0.005695137,0.02281941,0.27338204,53.86,0.03822491,7917,0.1355865,2721,18143.592739343643,136050000,-4.091014,1360500,0.9939731298945844
4.145198045934449,-0.006232637,0.021900022,0.266468,49.71,0.030512664,7764,0.13484144,2722,18150.483397722244,136100000,-4.100019,1361000,0.9951683687977493
5.386897073530272,-0.005375083,0.023010766,0.27435803,57.92,0.05132895,7984,0.1354776,2723,18157.492102384567,136150000,-4.092555,1361500,0.9924391070380807
4.884086460154212,-0.0060071563,0.02388641,0.28404805,51.44,0.0483963,7811,0.1352408,2724,18164.380291223526,136200000,-4.08542,1362000,0.9925223174504936
6.383379889419302,-0.006444533,0.021393744,0.26152,61.77,0.037065595,8041,0.13762596,2725,18171.417932987213,136250000,-4.0867534,1362500,0.9941803752444685
4.463906436012257,-0.005244877,0.025035968,0.29468393,50.74,0.06384833,8025,0.13737278,2726,18178.02600955963,136300000,-4.095607,1363000,0.9903059853240848
5.30309327025534,-0.00382268,0.023668649,0.28231803,57.37,0.04882836,7732,0.1349883,2727,18184.73622941971,136350000,-4.103553,1363500,0.9925690414384007
4.432907813221646,-0.0056171734,0.022022879,0.26837197,56.75,0.038011786,7857,0.13570088,2728,18191.687211990356,136400000,-4.111298,1364000,0.9943111981265247
4.924961445334084,-0.006202563,0.022363562,0.275882,53.6,0.028936911,8253,0.13616255,2729,18198.657791614532,136450000,-4.115283,1364500,0.9954003556631505
4.327180593835801,-0.004355932,0.026655238,0.30424,50.39,0.05275385,8077,0.13650265,2730,18205.111347198486,136500000,-4.1071415,1365000,0.9921970488503575
5.707752828066732,-0.006757185,0.022860518,0.27042204,59.41,0.043218926,8156,0.13892983,2731,18211.869652748108,136550000,-4.093364,1365500,0.993334477301687
4.534889542976526,-0.004315193,0.023765277,0.28327397,52.43,0.04622713,8087,0.1351403,2732,18218.506487369537,136600000,-4.0911,1366000,0.9930071984417737
4.363338460235391,-0.0059844702,0.023916148,0.27506202,50.77,0.04736391,8211,0.13584405,2733,18225.32408761978,136650000,-4.0859065,1366500,0.9927242719568312
3.703175690506687,-0.007742863,0.02365819,0.27672,48.79,0.062470417,8147,0.13423023,2734,18231.937746047974,136700000,-4.0842147,1367000,0.9906201222911477
5.526019061517618,-0.00580483,0.023262706,0.27864602,56.65,0.03980545,8019,0.13509575,2735,18238.465014457703,136750000,-4.0913925,1367500,0.993714539334178
4.004522246218403,-0.004665968,0.024146155,0.28157005,54.29,0.034798313,8180,0.13195847,2736,18245.32298398018,136800000,-4.094495,1368000,0.9946134169586003
5.028427695438731,-0.0043332772,0.024666524,0.29115796,53.69,0.043328628,8286,0.13806283,2737,18251.92626285553,136850000,-4.094608,1368500,0.9930341327562928
4.682417149924731,-0.0059800236,0.023056824,0.27049,52.07,0.065167196,8145,0.13142048,2738,18258.583466291428,136900000,-4.093696,1369000,0.9899572264403105
5.73794127533256,-0.0052846526,0.022377068,0.27039197,52.7,0.040715013,8095,0.13659361,2739,18265.17058444023,136950000,-4.0966787,1369500,0.9937009448185563
4.055784218171247,-0.006358287,0.025753414,0.29832393,49.52,0.051831808,7963,0.13179815,2740,18271.968602657318,137000000,-4.0977745,1370000,0.9918982181698084
5.705990940104748,-0.005986458,0.022779578,0.27728602,59.06,0.04111629,8290,0.1386913,2741,18278.88143348694,137050000,-4.102302,1370500,0.9938657931052148
5.249542417053308,-0.0066633592,0.021201275,0.261914,56.76,0.040385507,8123,0.13775998,2742,18285.529090881348,137100000,-4.102302,1371000,0.9938133521936834
5.059608095792137,-0.0047972514,0.025843807,0.29661596,56.21,0.05829385,7881,0.13802938,2743,18292.190160751343,137150000,-4.0979686,1371500,0.9909678101539612
5.879901126817567,-0.005908213,0.022635631,0.27124003,58.6,0.038100135,8168,0.13516383,2744,18298.747730255127,137200000,-4.0988526,1372000,0.9937852160073817
4.176672695660309,-0.0051230174,0.023054363,0.27802,50.64,0.047405653,8409,0.13640821,2745,18305.4705786705,137250000,-4.0960026,1372500,0.9926426061429083
4.51564490617704,-0.006964786,0.025207408,0.28569198,56.13,0.056616664,7770,0.13185608,2746,18311.94286608696,137300000,-4.085867,1373000,0.9912387300282717
5.284455323938382,-0.0058595925,0.024876595,0.29298592,57.17,0.051512133,8198,0.13764219,2747,18318.802391290665,137350000,-4.086244,1373500,0.9926173463463783
