fps,policy_loss,ep_reward_mean,total_timesteps,ep_len_mean,time_elapsed,clipfrac,value_loss,n_updates,policy_entropy,explained_variance,approxkl,serial_timesteps,true_reward
8182,-0.0078035425,4.169425547632054,194500000,51.35,26007.526871681213,0.24501605,0.03716833,3890,-3.274131,0.9942092569544911,0.019647375,1945000,0.15941356
8093,-0.0056451983,5.424900692296214,194550000,56.48,26013.961606025696,0.28281203,0.083943434,3891,-3.271894,0.987413409166038,0.024558164,1945500,0.15259139
7954,-0.0065331026,5.74327471169825,194600000,58.34,26020.675848960876,0.25852397,0.059660517,3892,-3.2558928,0.9912089584395289,0.020776765,1946000,0.15552866
8151,-0.005635157,3.9758051274337047,194650000,47.41,26027.506557941437,0.27556813,0.05287267,3893,-3.26143,0.9916916973888874,0.02365638,1946500,0.15373525
8085,-0.0049808384,4.524137289256905,194700000,51.5,26034.12200140953,0.254732,0.055407763,3894,-3.2706964,0.9909315379336476,0.02094186,1947000,0.15244955
8067,-0.006783964,4.248262890886036,194750000,49.45,26040.920805215836,0.26372203,0.08458057,3895,-3.2729461,0.9870337648317218,0.02219043,1947500,0.1553277
8038,-0.007827725,5.535752587319439,194800000,56.74,26047.68579697609,0.25641596,0.032342274,3896,-3.2735004,0.9946148111484945,0.021002838,1948000,0.15883306
8042,-0.0081705125,5.474434670966875,194850000,57.07,26054.338353157043,0.26075804,0.034694035,3897,-3.2695594,0.9944422785192728,0.021244118,1948500,0.15615484
8207,-0.006541048,5.568274337821422,194900000,54.1,26061.036232709885,0.26383793,0.059519462,3898,-3.2720525,0.990564277395606,0.021470267,1949000,0.15437643
8475,-0.005489203,5.220657407906983,194950000,51.71,26067.615750312805,0.26296604,0.037267987,3899,-3.2788937,0.9938368280418217,0.02227299,1949500,0.15869504
8313,-0.0072920597,4.858524075745226,195000000,61.37,26074.103229999542,0.26015204,0.043559264,3900,-3.2745674,0.9931099750101566,0.021435007,1950000,0.15271744
7958,-0.0060855136,5.125664347628481,195050000,47.71,26080.72966504097,0.262688,0.03465111,3901,-3.2760928,0.9941812753677368,0.021148587,1950500,0.15320815
7935,-0.006376111,5.512054663443487,195100000,57.5,26087.459841012955,0.25899795,0.035164665,3902,-3.286818,0.9940998158417642,0.02084022,1951000,0.15754807
8151,-0.008031003,6.324633571259037,195150000,61.78,26094.21107840538,0.25156397,0.038060833,3903,-3.2940762,0.9936894048005342,0.020048477,1951500,0.15559931
8253,-0.006962313,5.828147983091767,195200000,57.41,26100.890201568604,0.24984598,0.03172451,3904,-3.2920437,0.9949923013336957,0.020096887,1952000,0.15785523
8020,-0.0056887073,5.304798361306021,195250000,52.67,26107.40751028061,0.25512198,0.033173814,3905,-3.2950246,0.9946735734120011,0.020838976,1952500,0.15861379
7802,-0.0071775364,4.490519861258799,195300000,48.12,26113.844771385193,0.255984,0.03809283,3906,-3.3011127,0.9938045688904822,0.02039886,1953000,0.15707096
8143,-0.006486605,5.775156724533408,195350000,57.13,26120.788564682007,0.28255597,0.04062601,3907,-3.3002007,0.9931895066983998,0.024144905,1953500,0.15515651
7945,-0.0063737454,5.380956143774238,195400000,56.17,26127.493166446686,0.26118404,0.04260032,3908,-3.2912414,0.9927121680229902,0.021413013,1954000,0.15552105
7650,-0.0032409593,5.170495356265165,195450000,53.89,26134.11128091812,0.288726,0.03805246,3909,-3.288797,0.9936064262874424,0.025407987,1954500,0.16131653
8001,-0.0075779213,4.077936139129743,195500000,50.61,26141.15212416649,0.26466,0.027621338,3910,-3.301119,0.9952054107561707,0.02152323,1955000,0.15507707
8025,-0.007424902,4.879557826876989,195550000,55.33,26147.882595062256,0.26866603,0.051860616,3911,-3.2990992,0.9920208165422082,0.023468146,1955500,0.15920848
7914,-0.0056085754,5.950907158018526,195600000,56.45,26154.509469747543,0.25823992,0.04326626,3912,-3.2995975,0.9932158174924552,0.020988598,1956000,0.15346198
8007,-0.007508325,5.191171565344558,195650000,48.77,26161.113349676132,0.24495202,0.027194876,3913,-3.3102522,0.9954822338186204,0.019411827,1956500,0.1596254
8164,-0.0051352913,6.037175054673717,195700000,60.74,26167.95058608055,0.25359002,0.042122923,3914,-3.311776,0.9933950584381819,0.020879816,1957000,0.15526512
8195,-0.007347024,5.603523053172831,195750000,54.94,26174.560456991196,0.253638,0.036912013,3915,-3.3127668,0.9936281875707209,0.021107752,1957500,0.16099268
