fps,n_updates,value_loss,ep_reward_mean,approxkl,policy_loss,clipfrac,serial_timesteps,time_elapsed,policy_entropy,explained_variance,ep_len_mean,true_reward,total_timesteps
8147,4517,0.099047564,40.73289014135127,0.22404583,0.0054337615,0.52504396,2258500,30156.919684171677,-5.6797523,0.971904493868351,496.41,0.078130536,225850000
7880,4518,0.099125534,39.70576323328718,0.1532597,0.0029767817,0.4875,2259000,30163.636954545975,-5.6703663,0.9787980262190104,495.9,0.07551189,225900000
8212,4519,0.12908892,40.51816350693221,0.17096356,-0.0010391696,0.39283612,2259500,30170.511254310608,-5.6910524,0.9642730243504047,496.28,0.07785998,225950000
8020,4520,0.12700877,39.09228668087442,0.4041313,0.0037577474,0.46982005,2260000,30177.088032245636,-5.707075,0.9795303195714951,493.79,0.072073095,226000000
8140,4521,0.12641457,40.73188886465112,0.28683898,0.004581538,0.450342,2260500,30183.854509592056,-5.7013454,0.9701698403805494,495.83,0.077413656,226050000
8256,4522,0.11253993,41.371241964199406,0.3493938,0.0013431535,0.436418,2261000,30190.455230236053,-5.692778,0.9739453252404928,495.38,0.07861961,226100000
7997,4523,0.17213918,40.032053176071656,0.22790833,-0.00080469507,0.43971393,2261500,30196.971650600433,-5.7026753,0.9601187743246555,496.26,0.07655199,226150000
8233,4524,0.05778991,41.12566787774653,0.13341677,0.0024591994,0.49479598,2262000,30203.68383693695,-5.6859264,0.9816845189779997,496.8,0.07930802,226200000
8080,4525,0.1735996,39.39421459111829,0.36583602,0.0020109522,0.488386,2262500,30210.15939974785,-5.6863494,0.9634615257382393,496.64,0.07511675,226250000
8890,4526,0.11997059,39.49724203259126,0.14549996,0.00039601512,0.416002,2263000,30216.891345500946,-5.670757,0.9756457079201937,496.01,0.07524008,226300000
8274,4527,0.052779485,40.12500779994341,0.3298381,0.0064873085,0.5134899,2263500,30222.864023923874,-5.6533556,0.9816273376345634,498.79,0.079270646,226350000
8407,4528,0.2032482,40.096755906512,0.4377398,0.003206813,0.44654188,2264000,30229.290972709656,-5.6675344,0.9549978598952293,496.32,0.07660328,226400000
8268,4529,0.10435124,41.81469585896957,0.3374439,0.0032638896,0.5201719,2264500,30235.679619312286,-5.7109327,0.9619201943278313,497.71,0.081550665,226450000
8148,4530,0.15555067,40.989938679108725,0.79499567,-0.0020044432,0.36372194,2265000,30242.11762714386,-5.7332635,0.967599269002676,495.03,0.07716835,226500000
8164,4531,0.037836686,41.31296291230896,0.1205902,-0.0010422339,0.43700215,2265500,30248.674877643585,-5.7418733,0.9825908150523901,498.51,0.08107866,226550000
8126,4532,0.08698678,41.13024747998768,0.11195118,0.0020535598,0.49379608,2266000,30255.297916412354,-5.723095,0.9753844067454338,497.36,0.079796374,226600000
7905,4533,0.2092807,40.48541775823842,0.29367536,0.0018868381,0.4385041,2266500,30262.019825696945,-5.7247286,0.9545896798372269,496.5,0.07765199,226650000
7948,4534,0.19214705,41.60471246185476,0.23844376,0.0030794668,0.488818,2267000,30268.62161755562,-5.740779,0.949798259884119,496.1,0.079923406,226700000
8064,4535,0.31596598,39.51161797585948,0.22470966,-0.003258838,0.33260006,2267500,30275.209665060043,-5.758476,0.9556411579251289,492.48,0.07189393,226750000
8068,4536,0.05325719,40.419136316914646,0.11780494,0.0028708759,0.5093201,2268000,30281.918921232224,-5.7614594,0.9820359498262405,497.81,0.07879779,226800000
8331,4537,0.34203148,38.7824005743738,0.21797132,0.00041487956,0.43646392,2268500,30288.311044692993,-5.7673497,0.9465960040688515,494.77,0.072519735,226850000
7972,4538,0.11796446,39.129338029785,0.16578943,0.0018893606,0.50966793,2269000,30294.639361858368,-5.755521,0.9755133036524057,497.08,0.07536245,226900000
8055,4539,0.045733538,40.73822769058022,0.14196989,0.0041743554,0.5317218,2269500,30301.373230934143,-5.765629,0.9832421857863665,497.82,0.07955771,226950000
8423,4540,0.081436984,38.94906743039189,0.28433302,0.0074594724,0.49681205,2270000,30307.94312286377,-5.7235427,0.9819526430219412,497.06,0.07512349,227000000
8096,4541,0.18366008,39.85488430654661,0.20135035,0.0011658197,0.47869995,2270500,30314.374472379684,-5.688385,0.9539158381521702,497.52,0.07723508,227050000
7850,4542,0.17221582,39.97802694909729,0.17623597,-0.0013557549,0.39141807,2271000,30321.139206171036,-5.689818,0.96940016746521,494.15,0.07462189,227100000
8083,4543,0.18488878,40.514537192507646,1.0361984,0.0006466049,0.47648194,2271500,30327.852429628372,-5.7016993,0.9583382681012154,495.48,0.076705314,227150000
7952,4544,0.19116686,39.51361738978883,0.20074049,0.001139414,0.34114406,2272000,30334.638874292374,-5.7239537,0.9704167582094669,493.48,0.072860576,227200000
8122,4545,0.061181303,40.04051363915018,0.2544726,0.005401019,0.56764597,2272500,30341.441951990128,-5.721349,0.9816978294402361,498.83,0.07900588,227250000
8290,4546,0.18460579,39.3498277126474,0.18705346,0.0027756044,0.5090701,2273000,30347.830276966095,-5.70639,0.9682621099054813,494.71,0.073573135,227300000
8044,4547,0.26738292,40.75125796486516,3.5826416,-0.0019206726,0.335662,2273500,30354.44510960579,-5.70488,0.9550803527235985,494.67,0.07578389,227350000
8358,4548,0.06978702,40.203224436228105,0.13092549,0.00026509826,0.53881204,2274000,30361.095308065414,-5.7167234,0.9848493514582515,495.52,0.07595901,227400000
7735,4549,0.16372007,41.330991455418044,0.21482286,0.002017869,0.47132194,2274500,30367.66750884056,-5.7408223,0.9638710580766201,495.16,0.07796576,227450000
7969,4550,0.14884189,40.46008132970904,0.18121664,0.0043298006,0.502274,2275000,30374.486334323883,-5.7285533,0.9628820940852165,497.13,0.07788269,227500000
7794,4551,0.16564317,38.77622603277057,0.17658882,0.0035535218,0.56661993,2275500,30381.152995109558,-5.718324,0.9747098796069622,493.55,0.07113713,227550000
8207,4552,0.044943508,40.48549294177197,0.17955498,0.0032188816,0.44283405,2276000,30387.86344766617,-5.694444,0.9890764961019158,495.21,0.0766139,227600000
8098,4553,0.24405205,41.12627884143685,0.59446436,0.0007134437,0.357822,2276500,30394.178374767303,-5.7282953,0.9636879153549671,492.23,0.07455705,227650000
