explained_variance,serial_timesteps,ep_reward_mean,ep_len_mean,fps,total_timesteps,clipfrac,time_elapsed,true_reward,n_updates,value_loss,approxkl,policy_entropy,policy_loss
0.9667080566287041,46500,2.8160726783410066,62.11,8150,4650000,0.062128,633.3283047676086,0.0145716015,93,0.16074108,0.0054640267,3.8415823,-0.008318936
0.969115974381566,47000,2.736425466570363,55.04,8283,4700000,0.06421399,639.993730545044,0.011751806,94,0.15276457,0.0055454536,3.8190293,-0.0075933975
0.9714050628244877,47500,2.8341595774803134,56.09,8529,4750000,0.05735199,646.2928686141968,0.018631445,95,0.16369791,0.005115421,3.8026142,-0.007614334
0.9660953134298325,48000,3.3192786931165754,63.08,8242,4800000,0.062995985,652.6883854866028,0.01844107,96,0.17227766,0.0054513095,3.790366,-0.007831504
0.9667364209890366,48500,3.209518024730205,59.49,7938,4850000,0.06662199,659.2018029689789,0.015169082,97,0.16910622,0.0058083627,3.7670405,-0.00830114
0.9698269106447697,49000,2.551069824702863,62.88,7914,4900000,0.06584,666.0584101676941,0.01838362,98,0.16619623,0.0057393746,3.736639,-0.008376978
0.9618368297815323,49500,2.983468224263197,63.98,8211,4950000,0.066392004,672.8446514606476,0.018524533,99,0.1823843,0.0057205455,3.7103195,-0.0076650367
0.9684480391442776,50000,2.398139834623871,56.57,8028,5000000,0.06410799,679.5497469902039,0.019402158,100,0.16700429,0.005604515,3.6822867,-0.0077480716
0.966740969568491,50500,2.8925530287568106,57.46,8204,5050000,0.068583995,686.3312201499939,0.017898884,101,0.16796766,0.0058398102,3.659627,-0.008479055
0.967233058065176,51000,2.430238631308603,55.52,7859,5100000,0.061094,692.9227132797241,0.017819135,102,0.16958557,0.0054649576,3.6320953,-0.0075960867
0.9682949893176556,51500,2.723938365251088,62.2,8518,5150000,0.06012601,699.7438201904297,0.018430449,103,0.16783962,0.0053703003,3.6128366,-0.007536894
0.964690063148737,52000,2.7413569534147975,58.23,7837,5200000,0.064637996,706.1895251274109,0.014778109,104,0.1847394,0.0056919158,3.585036,-0.008243525
0.9722368754446507,52500,2.812940489493776,63.71,7933,5250000,0.070544,712.9136595726013,0.019053228,105,0.15254809,0.0059533804,3.5558271,-0.007900527
0.9696720838546753,53000,3.294391363446339,70.73,7660,5300000,0.06411199,719.7436273097992,0.022577232,106,0.16421765,0.0055256356,3.5375867,-0.00799956
0.9713551849126816,53500,3.349276261783525,64.02,8312,5350000,0.066117994,726.8153553009033,0.019236825,107,0.15607715,0.0057608215,3.5110552,-0.008239407
0.9724315516650677,54000,2.9685470267932397,62.25,8159,5400000,0.07281599,733.391007900238,0.016848251,108,0.15665609,0.006018373,3.4972415,-0.008526169
0.9724089112132788,54500,3.0860657675482073,60.43,7582,5450000,0.06515999,739.8696346282959,0.022246404,109,0.15061173,0.0056773,3.4842312,-0.007769382
