ep_len_mean,fps,policy_loss,total_timesteps,ep_reward_mean,value_loss,clipfrac,approxkl,time_elapsed,n_updates,serial_timesteps,policy_entropy,explained_variance,true_reward
32.58,8000,0.0032157192,15150000,1.3833078408241273,4.933458e-05,0.21102798,0.017059775,1981.1034331321716,303,151500,-2.8072226,0.9996632524125744,0.050400726
32.2,7779,0.0042603253,15200000,1.3471376129984856,1.4062597e-05,0.21658204,0.017869487,1987.9849345684052,304,152000,-2.8183477,0.9998737809655722,0.050367497
32.0,7760,-0.003160105,15250000,1.3280439066886902,1.2712027e-06,0.146294,0.011483215,1995.0674269199371,305,152500,-2.8468072,0.999988091328305,0.050312784
32.03,7782,0.0010595215,15300000,1.3311892849206926,3.109221e-06,0.176502,0.013420321,2001.8924219608307,306,153000,-2.8734083,0.9999722201318946,0.05033915
32.03,8048,0.002956185,15350000,1.331105473637581,3.8848516e-06,0.17783003,0.01459585,2008.8467240333557,307,153500,-2.8957043,0.9999720224386692,0.050358362
32.63,7994,0.0014719662,15400000,1.387562930881977,7.418861e-05,0.19083403,0.016468246,2015.7750043869019,308,154000,-2.8994133,0.9996351053123362,0.050408076
32.11,7971,0.0061174734,15450000,1.3381395107507705,1.4206597e-05,0.20778804,0.016213167,2022.6979765892029,309,154500,-2.909864,0.99991706993751,0.050355963
32.41,8131,0.0023090772,15500000,1.36688959389925,2.652352e-05,0.22195798,0.018031351,2029.4921081066132,310,155000,-2.927051,0.9997612617153209,0.050375853
32.03,7816,0.0034164668,15550000,1.3310463321208954,3.4230115e-06,0.16179799,0.012619927,2036.334225654602,311,155500,-2.9461005,0.9999654007515346,0.05034076
32.01,8132,0.00042592548,15600000,1.3291424745321274,1.9962677e-06,0.17904402,0.013713026,2043.4401550292969,312,156000,-2.9799528,0.9999834951213415,0.050327122
32.07,8343,0.0019905113,15650000,1.3343403792381288,6.967538e-06,0.19316798,0.014351041,2050.0549342632294,313,156500,-3.0127356,0.9999500533085666,0.050348993
32.05,8019,0.0011468877,15700000,1.333018427491188,4.3669866e-06,0.18857002,0.01397653,2056.5669405460358,314,157000,-3.0417347,0.9999612678329868,0.05034371
32.07,7978,0.0050280034,15750000,1.3344596189260483,1.1693492e-05,0.22503,0.018616088,2063.419119119644,315,157500,-3.069881,0.9999505875202885,0.050355263
32.0,8315,-0.002395772,15800000,1.3274735224246978,3.8002026e-06,0.14814402,0.011602709,2070.264314889908,316,158000,-3.0986972,0.999989157435266,0.05034689
32.0,8256,0.00032012328,15850000,1.3273535615205765,1.0516885e-06,0.17283796,0.014430714,2076.7496638298035,317,158500,-3.1274385,0.9999904679452811,0.05035202
32.62,7891,0.0070629753,15900000,1.3862671229243277,4.1799954e-05,0.29119,0.031266805,2083.5114068984985,318,159000,-3.1351624,0.9996336064941715,0.050426286
33.35,8281,0.0002194146,15950000,1.4552772849798203,8.237612e-05,0.16148199,0.012706023,2090.341020822525,319,159500,-3.1267982,0.9992532850592397,0.050450988
32.94,8384,0.0027742954,16000000,1.4164625489711762,6.045809e-05,0.19823802,0.016690124,2096.930910587311,320,160000,-3.1227112,0.9994596124743111,0.050435986
33.4,8484,-0.0012157833,16050000,1.4598946276307105,8.759308e-05,0.173654,0.013824692,2103.3043110370636,321,160500,-3.1139202,0.9991949456161819,0.050459664
32.8,8477,0.0018786176,16100000,1.4029959386587143,5.1239855e-05,0.18212998,0.014550409,2109.6424190998077,322,161000,-3.103905,0.9995311576058157,0.05043655
32.19,8094,0.005133778,16150000,1.3455143773555756,5.892199e-05,0.20353399,0.016475724,2116.062915802002,323,161500,-3.1076157,0.9998758447327418,0.050392315
32.0,7913,0.005261249,16200000,1.3274164080619812,5.7592704e-05,0.14222401,0.010814855,2122.683266401291,324,162000,-3.1156902,0.9996106216858607,0.050352704
32.02,8414,0.0046016,16250000,1.3292348051071168,5.1750003e-06,0.16780397,0.012726384,2129.5278508663177,325,162500,-3.1316786,0.9999521651443501,0.050349254
32.06,8460,0.0063744443,16300000,1.333143677711487,1.22952115e-05,0.19406204,0.015713803,2135.875649213791,326,163000,-3.155737,0.9999450048453582,0.050372984
32.05,8114,0.0024969922,16350000,1.3319862747192384,4.482426e-06,0.149248,0.0115517555,2142.410798072815,327,163500,-3.184639,0.9999545078972005,0.05038408
32.05,8345,0.0040523554,16400000,1.3324590498209,4.371697e-06,0.20682007,0.016508069,2149.1539690494537,328,164000,-3.2081583,0.9999603977412335,0.05038792
32.23,8016,0.0037535815,16450000,1.349159298837185,1.6165755e-05,0.24188401,0.019774286,2155.7264828681946,329,164500,-3.2274609,0.9998573303601006,0.050401617
32.15,7616,0.0057938294,16500000,1.3412095111608506,1.0775436e-05,0.25557196,0.02162087,2162.5669333934784,330,165000,-3.2437327,0.9999028988240752,0.050397106
32.13,7973,0.00579111,16550000,1.3396356046199798,3.186873e-05,0.27372396,0.023541678,2169.85626745224,331,165500,-3.2652721,0.9999144864050322,0.050411317
32.48,8082,0.0025045595,16600000,1.372330159842968,5.889983e-05,0.20139599,0.017571293,2176.7718710899353,332,166000,-3.2656384,0.999649279168807,0.050426584
32.2,7946,0.0044821114,16650000,1.3458530968427658,3.4369983e-05,0.23400597,0.01927712,2183.5345180034637,333,166500,-3.2535944,0.9998682042350993,0.050419435
32.38,8323,0.006669333,16700000,1.3629193499684333,3.0415824e-05,0.29383802,0.028009797,2190.5929527282715,334,167000,-3.242628,0.9997650698933285,0.050432373
32.04,8195,0.009991372,16750000,1.3307159781455993,3.7173147e-06,0.20846203,0.01861527,2197.387123823166,335,167500,-3.2539332,0.9999579478608212,0.050398946
32.08,8006,0.0038171718,16800000,1.3345484554767608,6.2688796e-06,0.19886403,0.015186483,2203.881174325943,336,168000,-3.2729414,0.9999422721957671,0.050411075
32.16,8225,0.0050978633,16850000,1.3421411466598512,1.1610928e-05,0.251436,0.021203065,2210.72062087059,337,168500,-3.2889144,0.9998955663686502,0.050416138
32.15,7973,0.0062453705,16900000,1.3411228215694428,1.0821486e-05,0.24034798,0.021697732,2217.288586616516,338,169000,-3.2996473,0.9999018905436969,0.05041873
32.12,7801,0.0049485834,16950000,1.3379823878407477,8.864572e-06,0.23121008,0.019007618,2224.2014017105103,339,169500,-3.3190548,0.9999199578305706,0.05041094
32.1,8082,0.0068119643,17000000,1.336459118127823,1.2258329e-05,0.265158,0.022707934,2231.136059999466,340,170000,-3.3342829,0.9999318124100682,0.050416183
32.63,8301,0.0015951497,17050000,1.3863767918944359,4.221551e-05,0.25280592,0.0210109,2237.9315090179443,341,170500,-3.33271,0.9996182587346993,0.0504517
32.12,8075,0.0055876416,17100000,1.3388487243652343,9.985163e-06,0.205076,0.01610321,2244.2534692287445,342,171000,-3.3236227,0.9999118860141607,0.050411396
32.17,7886,0.005568979,17150000,1.3432230219244956,1.3237716e-05,0.24754599,0.022269784,2251.1490676403046,343,171500,-3.3237247,0.999889962207817,0.050411835
32.04,8268,0.0045762,17200000,1.330746701359749,5.839262e-06,0.179486,0.014066108,2257.845931529999,344,172000,-3.3398657,0.9999645393072569,0.050370116
