total_timesteps,approxkl,n_updates,explained_variance,ep_reward_mean,fps,time_elapsed,clipfrac,policy_entropy,serial_timesteps,ep_len_mean,policy_loss,value_loss,true_reward
6400000,0.0064049913,128,0.9897615676745772,2.538129720741854,7733,860.7955317497253,0.07807199,2.6580775,64000,73.25,-0.009194225,0.007352188,-0.00032184517
6450000,0.0067831133,129,0.9888390731066465,2.8578647425088275,8040,867.8071792125702,0.08481599,2.6375816,64500,61.8,-0.009093527,0.008245585,0.0014376728
6500000,0.006779637,130,0.9906606795266271,2.916566006198409,7842,874.5442671775818,0.084082,2.6186864,65000,65.14,-0.009333116,0.007250601,-0.0050361697
6550000,0.0065090065,131,0.9899678975343704,1.3901861306019418,7777,881.4122567176819,0.07975402,2.6040473,65500,59.82,-0.009398536,0.0077506807,-0.0061034295
6600000,0.006687501,132,0.9896249948069453,2.6030394794889435,7840,888.3320415019989,0.08249401,2.5812728,66000,70.93,-0.0093424525,0.008034388,-0.002399772
6650000,0.006663115,133,0.9889609217643738,2.15399385713783,7681,895.0099401473999,0.082526,2.5593204,66500,65.27,-0.009443146,0.008178881,-0.0034106881
6700000,0.0064662136,134,0.9900652524083853,1.9750004132460162,7699,902.011182308197,0.079428,2.5411108,67000,74.93,-0.009647206,0.0074884,-0.0037583488
6750000,0.0068172677,135,0.9898830940946937,2.8978603265606218,7837,909.0728259086609,0.084544,2.515356,67500,70.35,-0.009605953,0.007317965,-0.0029431512
6800000,0.0065587307,136,0.9884649543091655,2.2038947480133357,7813,916.0440092086792,0.08097601,2.4953284,68000,61.63,-0.008993815,0.008799959,-0.0021067339
6850000,0.0065679643,137,0.9895681105554104,2.0404045481698265,7749,922.9327199459076,0.080258,2.477918,68500,64.88,-0.008721139,0.007909814,-0.002645903
6900000,0.005987379,138,0.9904096461832523,1.7820521041270694,8248,929.8914515972137,0.07093601,2.4655683,69000,67.92,-0.00818621,0.007110923,-0.0056235585
6950000,0.0064595486,139,0.989909878000617,2.454753561218313,7915,936.5743539333344,0.07798001,2.443014,69500,68.71,-0.009132188,0.007715739,-0.0007659742
7000000,0.006693801,140,0.9888624958693981,1.9482077028743516,7827,943.5141909122467,0.082266,2.4219742,70000,58.92,-0.00900704,0.008151954,0.0017525293
7050000,0.0066106063,141,0.9899523891508579,2.0322807571287558,7709,950.4882004261017,0.081306,2.4020712,70500,70.78,-0.009367944,0.007793257,-0.0037452914
7100000,0.0066557187,142,0.9897991409525275,2.2577038747692133,7897,957.6298995018005,0.082096,2.3772721,71000,62.03,-0.008985989,0.008011354,0.00040604823
7150000,0.006617755,143,0.9898995431140065,2.03034002551547,8086,964.5302259922028,0.08088398,2.3517709,71500,56.76,-0.009316477,0.007959571,-0.003568327
7200000,0.006610326,144,0.9904102487489581,2.153948018899537,8023,971.2507305145264,0.08121401,2.3263543,72000,59.24,-0.009273747,0.0070895404,-0.0003906562
7250000,0.0067323465,145,0.9902628036215901,1.44149729996956,8174,977.9782316684723,0.08323601,2.303205,72500,63.67,-0.009242857,0.007873237,-0.004718842
7300000,0.006919297,146,0.9898048741742969,2.969980915948836,7988,984.6165850162506,0.08739401,2.2886474,73000,76.69,-0.009489123,0.007480726,-0.0012492636
7350000,0.0069659054,147,0.9895876059308648,2.6780410283687526,7884,991.3537800312042,0.086324014,2.2709084,73500,65.96,-0.009209119,0.007335358,-0.0037663023
7400000,0.006793804,148,0.9896531067788601,2.4698576743622835,7739,998.1892628669739,0.08517799,2.253035,74000,76.28,-0.008797803,0.008193872,-0.0013210765
7450000,0.0071312357,149,0.9904997674748302,3.0017797804139263,7803,1005.1694304943085,0.089704,2.2317057,74500,66.75,-0.009092689,0.007327704,-0.0044881245
7500000,0.0067586605,150,0.9891556054353714,1.8171029157862357,8005,1012.221399307251,0.083620004,2.2120326,75000,65.52,-0.009341854,0.007995732,-0.0006932087
7550000,0.006852065,151,0.9903105013072491,2.649065882441209,8166,1018.8737716674805,0.08445801,2.1936986,75500,59.82,-0.009081174,0.007459653,-0.004271629
7600000,0.0067328704,152,0.9896180033683777,2.668890669157372,8041,1025.5239164829254,0.083234,2.1690013,76000,76.85,-0.008848952,0.00855871,0.0017929986
7650000,0.0069488375,153,0.9909242168068886,3.534812314277224,7918,1032.0654079914093,0.08734399,2.1478002,76500,64.98,-0.008971621,0.0076310504,0.00079793733
7700000,0.007246252,154,0.9908172255381942,2.426862584489718,8563,1039.039490699768,0.091368,2.1255581,77000,74.54,-0.009435911,0.0071682306,0.003139432
7750000,0.0068448936,155,0.9901473047211766,2.8628223764998255,8156,1045.4174330234528,0.08530201,2.102239,77500,69.62,-0.009198382,0.0077267117,0.00072659104
7800000,0.006857246,156,0.9898762311786413,1.8467652336120226,8229,1051.9089052677155,0.08501001,2.0806649,78000,60.39,-0.009410647,0.007995198,-0.009609266
7850000,0.006900555,157,0.991657504811883,2.5415515372632944,8041,1058.5830781459808,0.085492,2.0622997,78500,68.31,-0.009000384,0.00697626,-0.00019880051
7900000,0.0070339018,158,0.9902866771444678,1.9557862776519324,8248,1065.3168897628784,0.087719984,2.044751,79000,63.88,-0.009195071,0.0079356395,-0.0023605349
7950000,0.0071886308,159,0.9913653107360005,2.652480995251681,8047,1071.7831976413727,0.09029602,2.0135326,79500,65.93,-0.009659859,0.006781287,-0.0002740533
8000000,0.007184604,160,0.9900458808988333,2.727793130229038,8149,1078.4628775119781,0.090826,1.982555,80000,67.01,-0.009433881,0.0077733006,-0.0052539147
8050000,0.006923921,161,0.9905005088075995,2.19325931034371,8175,1085.1364669799805,0.08521001,1.9484322,80500,54.5,-0.009342393,0.0071741315,0.0024217372
8100000,0.007410647,162,0.9916632436215878,2.776918952093329,7995,1091.7676560878754,0.094529994,1.9167894,81000,65.69,-0.009718318,0.0068204813,0.00095265533
8150000,0.0075954725,163,0.9910656623542309,2.565302136690152,7926,1098.6324880123138,0.09676402,1.88552,81500,80.92,-0.010259973,0.007847778,0.0006666466
8200000,0.0076558795,164,0.9912853874266148,2.635977824432193,7950,1105.40367269516,0.097716,1.8566775,82000,67.87,-0.009651041,0.007257512,-0.0035401243
8250000,0.0076675755,165,0.9906567046418786,2.4772836229200768,7879,1112.263226032257,0.097335994,1.8351829,82500,74.9,-0.009110689,0.006955324,-0.0021864923
8300000,0.0075031533,166,0.9911187132820487,2.4550940346992864,7908,1118.946035861969,0.096070014,1.8132893,83000,64.59,-0.00948687,0.0071708364,0.0005807365
8350000,0.007305882,167,0.9914246229454875,2.7719173286345904,7927,1125.8204808235168,0.092903994,1.7914703,83500,64.09,-0.009238855,0.007152097,-0.0027635756
8400000,0.0070225056,168,0.9909174414351583,2.2539089749529375,7753,1132.703102350235,0.08790002,1.7689922,84000,71.25,-0.009873444,0.0073112305,-0.0023894408
