n_updates,fps,policy_entropy,true_reward,value_loss,approxkl,total_timesteps,ep_reward_mean,serial_timesteps,explained_variance,policy_loss,time_elapsed,clipfrac,ep_len_mean
2149,7855,-5.2033978,0.102601826,0.08754833,0.022384739,107450000,9.714143970159348,1074500,0.9822844881564379,-0.003306163,14388.08458685875,0.27075198,115.5
2150,8257,-5.198852,0.09670879,0.13826351,0.025301766,107500000,8.689630355166882,1075000,0.9709281250834465,-0.002727206,14394.730166196823,0.290512,107.3
2151,8218,-5.1990066,0.10617144,0.1008544,0.024373185,107550000,8.796001846502113,1075500,0.9798192176967859,-0.0015565475,14401.389402627945,0.28009003,99.72
2152,8460,-5.1923156,0.10319351,0.08696681,0.023785787,107600000,8.32090027879829,1076000,0.9823313839733601,-0.003583244,14408.12377166748,0.28129402,92.56
2153,8332,-5.1888585,0.106343456,0.10300792,0.024557283,107650000,9.771889100994086,1076500,0.9801345635205507,-0.003642654,14414.662015914917,0.282468,100.89
2154,8232,-5.1783466,0.10269583,0.10332071,0.027822427,107700000,9.109675623871153,1077000,0.9789516795426607,-0.0023823187,14421.2374522686,0.30594403,95.94
2155,8330,-5.170957,0.104795,0.09431655,0.023494814,107750000,8.920979940357793,1077500,0.9816899988800287,-0.0025544558,14427.864334821701,0.28212398,101.58
2156,8302,-5.166175,0.10326733,0.09351351,0.024363035,107800000,9.216380333587804,1078000,0.9815836623311043,-0.0031924448,14434.407567024231,0.28629607,105.88
2157,8552,-5.163684,0.098752044,0.1273037,0.025817383,107850000,7.6898573860802575,1078500,0.9764942489564419,-0.0016480142,14440.977370738983,0.29336205,97.98
2158,8187,-5.1666746,0.10492427,0.101876505,0.024120152,107900000,8.957649106395692,1079000,0.9791315924376249,-0.0034284564,14447.443355321884,0.282994,96.11
2159,8171,-5.1671486,0.09963654,0.122267246,0.027789354,107950000,8.186198327225066,1079500,0.9759921282529831,-0.0022153244,14454.175860643387,0.30792204,96.08
2160,8073,-5.1704574,0.105803825,0.089646004,0.021982083,108000000,8.24668468108517,1080000,0.9822178594768047,-0.0030511874,14460.873305082321,0.26852405,97.26
2161,8138,-5.1822743,0.10616858,0.09473143,0.024404246,108050000,9.12474697542246,1080500,0.9822172354906797,-0.0033535352,14467.642818927765,0.2858341,98.1
2162,7934,-5.1902056,0.10389543,0.093869954,0.027900733,108100000,8.727600449833698,1081000,0.9807388875633478,-0.0012216396,14474.1180934906,0.30772007,97.08
2163,8201,-5.190871,0.10163267,0.110313684,0.025427135,108150000,8.040673392367898,1081500,0.977436738088727,-0.0029379583,14481.094396591187,0.28657204,93.54
2164,8333,-5.2005024,0.10501542,0.08562433,0.024186404,108200000,7.849702099611459,1082000,0.9824678357690573,-0.0037786954,14487.721941709518,0.28394395,92.41
2165,8018,-5.2014537,0.107877836,0.091532946,0.023624184,108250000,9.537331060428624,1082500,0.9821613784879446,-0.0024552483,14494.320209026337,0.2833601,104.83
2166,8421,-5.2057633,0.105998226,0.08955019,0.022635518,108300000,9.882508023828414,1083000,0.9826501980423927,-0.0029248742,14501.081789255142,0.27293,109.14
2167,8202,-5.2121816,0.106060915,0.09922437,0.026851911,108350000,8.385972399954554,1083500,0.9802112970501184,-0.0013661246,14507.299919366837,0.30080402,97.17
2168,8046,-5.211388,0.103816435,0.09718922,0.025088582,108400000,8.66345663157117,1084000,0.9809903465211391,-0.001267768,14513.916345357895,0.29358596,100.9
2169,8017,-5.217144,0.1076158,0.11283085,0.027217794,108450000,8.742176999994008,1084500,0.9794574361294508,-0.0016416387,14520.58393740654,0.303662,95.06
2170,8201,-5.213617,0.100956075,0.12312106,0.02438539,108500000,9.324165040576336,1085000,0.9772042762488127,-0.0038856938,14527.258672714233,0.28687,107.21
2171,7966,-5.219831,0.10425735,0.08924085,0.025358412,108550000,9.138902654619523,1085500,0.9821488726884127,-0.0020337268,14533.88745379448,0.29145005,101.56
2172,8095,-5.2217174,0.10576839,0.11262816,0.0271592,108600000,9.640570089057146,1086000,0.978041160851717,-0.0025820518,14540.743556976318,0.30498198,110.22
2173,7743,-5.2132397,0.10663333,0.08678837,0.024718788,108650000,10.04257795441139,1086500,0.9833238758146763,-0.0020782975,14547.496063232422,0.29134995,108.36
2174,8267,-5.2054753,0.103357844,0.11758594,0.025931323,108700000,9.364902814315283,1087000,0.9771928321570158,-0.0033025884,14554.461220026016,0.29310197,109.56
2175,8063,-5.2045984,0.10349756,0.0959851,0.023834534,108750000,9.19670239125917,1087500,0.9801974147558212,-0.003855103,14561.083714962006,0.28013194,103.86
2176,8146,-5.199912,0.106731795,0.1055775,0.023744414,108800000,9.765113187444804,1088000,0.978721383959055,-0.004863913,14567.891388177872,0.27804402,98.73
2177,8630,-5.2030644,0.10551942,0.08096103,0.023308635,108850000,9.818163955142008,1088500,0.9826701413840055,-0.0028647624,14574.269461393356,0.27627805,108.07
2178,7973,-5.2065334,0.10569233,0.12011975,0.027684826,108900000,9.000207133949807,1089000,0.9760255478322506,-0.0015144844,14580.641388893127,0.30579406,100.1
2179,8201,-5.209204,0.10836642,0.065004,0.023561688,108950000,9.980924569467497,1089500,0.9872898636385798,-0.0017634471,14587.61064529419,0.282322,106.56
2180,8411,-5.2124867,0.10879684,0.08122322,0.02338021,109000000,8.182453862256443,1090000,0.9828105568885803,-0.0021424491,14594.111032962799,0.27567804,89.18
2181,8041,-5.215256,0.1050775,0.100456335,0.024957256,109050000,9.32806827223434,1090500,0.9815945867449045,-0.0044706133,14600.594898223877,0.288134,100.86
2182,8434,-5.2238464,0.108129,0.08700016,0.023346355,109100000,9.071422008852606,1091000,0.9830734524875879,-0.0035994668,14607.265021800995,0.27763206,101.71
2183,8154,-5.223794,0.10541084,0.088887125,0.026063146,109150000,8.295427947222779,1091500,0.9819250367581844,-0.003548797,14613.779835700989,0.29337603,98.46
2184,8223,-5.2138343,0.10253133,0.11028787,0.02499674,109200000,9.680770950066508,1092000,0.9793587531894445,-0.0029578137,14620.567516326904,0.28911796,115.51
2185,8107,-5.205732,0.10593418,0.09910492,0.025380248,109250000,9.526969679558825,1092500,0.9799654893577099,-0.0029286484,14627.127019166946,0.292404,96.36
2186,8167,-5.2073956,0.10225249,0.10824024,0.022843879,109300000,8.780225970422071,1093000,0.9793353080749512,-0.004557591,14633.856479644775,0.2693,102.84
2187,8417,-5.217905,0.10576927,0.095319055,0.024906581,109350000,9.896176241646172,1093500,0.9822719655930996,-0.0021133604,14640.547759532928,0.28800598,105.23
2188,8298,-5.215794,0.1073323,0.08873913,0.023064082,109400000,9.108902269980609,1094000,0.9832639191299677,-0.0028753572,14647.147324800491,0.27336803,99.82
2189,8156,-5.20932,0.10906931,0.079339325,0.02197734,109450000,9.59959062031623,1094500,0.9848123528063297,-0.005031289,14653.64994597435,0.26835606,102.45
2190,7775,-5.205099,0.10582326,0.12599456,0.02510327,109500000,9.238330040338624,1095000,0.9750022571533918,-0.0028754557,14660.274423837662,0.289518,102.07
2191,8263,-5.206134,0.10630496,0.10552154,0.02545011,109550000,9.889120789301087,1095500,0.9789696075022221,-0.002739897,14666.997683048248,0.29234803,108.77
2192,7905,-5.219946,0.10651164,0.08734904,0.021995904,109600000,9.13153355583956,1096000,0.9827800393104553,-0.004412624,14673.684767246246,0.26396403,98.23
2193,8141,-5.221203,0.10396755,0.12330635,0.026023718,109650000,8.296711006895856,1096500,0.9746769852936268,-0.0018287499,14680.49015378952,0.294936,99.31
2194,8091,-5.218885,0.10776479,0.10201019,0.025036583,109700000,10.26831430634833,1097000,0.980551902204752,-0.0032279154,14687.084963083267,0.290832,108.6
