ep_len_mean,serial_timesteps,true_reward,ep_reward_mean,total_timesteps,policy_entropy,policy_loss,n_updates,time_elapsed,clipfrac,approxkl,fps,value_loss,explained_variance
323.93,65500,0.047333717,14.256696571443554,6550000,5.8285995,-0.001721587,131,277.3270218372345,0.040930003,0.003798645,24361,0.334336,0.8838200345635414
370.76,66000,0.042659774,14.106574244840042,6600000,5.830409,-0.0009422766,132,279.4490406513214,0.039292,0.0039474345,24010,0.3539833,0.9054686054587364
329.9,66500,0.050541274,15.509118961346221,6650000,5.8280897,-0.0018389424,133,281.59571719169617,0.034614004,0.0035996302,23644,0.30884114,0.8872418701648712
332.17,67000,0.057165172,18.846697206120197,6700000,5.8239565,-0.00095847656,134,283.77629232406616,0.040848,0.0040985197,23807,0.2868865,0.8539502769708633
342.63,67500,0.055334784,18.646015855081604,6750000,5.819761,-0.0015502786,135,285.94586205482483,0.040678002,0.0040650815,24176,0.27935222,0.8550143092870712
370.85,68000,0.058435757,21.696508810653675,6800000,5.815628,-0.002225934,136,288.1267490386963,0.04078,0.004078903,23962,0.25705767,0.845820814371109
365.22,68500,0.060333177,23.01865818008191,6850000,5.8111963,-0.002139302,137,290.29458379745483,0.026226003,0.0029977404,23524,0.3407331,0.809362918138504
398.42,69000,0.06412966,25.698588876295574,6900000,5.8058224,-0.0013879167,138,292.4892773628235,0.050132,0.0044825138,23874,0.22665401,0.8270668983459473
375.23,69500,0.066735774,25.718145262814886,6950000,5.799251,-0.0012455708,139,294.65416836738586,0.02245,0.002947314,24079,0.23364003,0.8261461555957794
381.65,70000,0.06651242,27.013062158040704,7000000,5.7945137,-0.0019720243,140,296.8031783103943,0.018502,0.0024793523,23909,0.30177885,0.8517893701791763
385.5,70500,0.068266936,26.716168018894532,7050000,5.7895246,-0.0013429049,141,298.95923614501953,0.015376,0.0023493818,23973,0.21062529,0.8539292067289352
433.26,71000,0.06971124,30.638570577047304,7100000,5.7850776,-0.001601719,142,301.1135425567627,0.046134003,0.004085522,23797,0.19141085,0.8504351526498795
442.27,71500,0.07135814,32.2294994506985,7150000,5.7814355,-0.0010214138,143,303.29064297676086,0.028108,0.0031695764,23829,0.18512897,0.8530625402927399
433.68,72000,0.071712926,31.703676820683757,7200000,5.777981,-0.0010260788,144,305.4704201221466,0.020466,0.002848785,23978,0.17918842,0.8609684556722641
428.02,72500,0.07116772,31.203195903176674,7250000,5.7731133,-0.0013970786,145,307.62654638290405,0.02032,0.002778797,23881,0.18955255,0.8687299191951752
436.24,73000,0.07290353,33.04740893088281,7300000,5.769863,-0.0015166434,146,309.79091143608093,0.025999999,0.0030358445,23565,0.17591901,0.8850085288286209
451.26,73500,0.073487215,33.6737127024019,7350000,5.7655587,-0.0011939213,147,311.9771234989166,0.030502,0.0031422754,23453,0.15208244,0.8719286173582077
455.52,74000,0.07439669,34.2886440981536,7400000,5.7608175,-0.0012431192,148,314.19331789016724,0.023414,0.0025701604,23798,0.1501784,0.8917807638645172
455.33,74500,0.07479144,34.81104779055044,7450000,5.756908,-0.0012557983,149,316.3637418746948,0.027046,0.0031476028,23754,0.15226963,0.8908195048570633
454.62,75000,0.07494494,34.57031486890832,7500000,5.7541323,-0.000642407,150,318.533979177475,0.036444,0.0037579224,23753,0.14106545,0.896124467253685
460.59,75500,0.075279705,35.062122873493934,7550000,5.7507596,-0.0007972595,151,320.71881890296936,0.034294,0.003649238,24121,0.13473235,0.8880467787384987
459.79,76000,0.0745689,34.88051281040674,7600000,5.745969,-0.00090925983,152,322.8609380722046,0.044018004,0.004124688,23769,0.13586769,0.908185325562954
468.34,76500,0.07523343,35.82389681236324,7650000,5.7398696,-0.00033383287,153,325.03677201271057,0.062292,0.0052507105,24196,0.12520841,0.8980142995715141
454.12,77000,0.07414572,34.38863699469948,7700000,5.7352552,-6.948372e-05,154,327.1788158416748,0.053198002,0.004801256,24055,0.13198134,0.9115121588110924
461.79,77500,0.074868105,35.11764419047715,7750000,5.7310123,-0.00091421587,155,329.3332197666168,0.042521995,0.004012985,23709,0.117245615,0.9116590470075607
453.16,78000,0.074184954,34.198175139453326,7800000,5.7276406,-0.001654801,156,331.50851917266846,0.049207997,0.004183137,24127,0.123587474,0.9198346063494682
468.64,78500,0.07398893,35.13646810801292,7850000,5.7218027,-0.0012958861,157,333.64993238449097,0.073226005,0.0058204983,23752,0.1068161,0.9165674895048141
463.26,79000,0.07431708,35.050692430578636,7900000,5.7154226,-0.0023251025,158,335.82611441612244,0.029344002,0.003488059,23476,0.1182669,0.9201299622654915
460.41,79500,0.07518316,35.254955265143366,7950000,5.7085986,-0.0016337724,159,338.03961753845215,0.034222003,0.0034178898,23997,0.12018369,0.9199648350477219
466.07,80000,0.07649567,36.20949743440711,8000000,5.7051926,-0.0016276488,160,340.1874933242798,0.037332002,0.003649528,23995,0.098932296,0.9325154796242714
462.18,80500,0.07629024,35.868378383016676,8050000,5.7032967,-0.0017823369,161,342.34102416038513,0.036807995,0.0036651087,24038,0.107232414,0.9308571666479111
467.17,81000,0.076227404,36.0591996057851,8100000,5.7017336,-0.0020847232,162,344.49624705314636,0.042092,0.0040638363,23925,0.10210873,0.9224197715520859
471.99,81500,0.07570694,36.06181591589004,8150000,5.693624,-0.0015671563,163,346.6503074169159,0.037556,0.0037465096,23997,0.088818416,0.9267626404762268
463.51,82000,0.07470368,34.99730418932224,8200000,5.6827955,-0.002542474,164,348.8048691749573,0.041943997,0.004052578,23692,0.109577596,0.9236725941300392
