n_updates,explained_variance,policy_entropy,total_timesteps,serial_timesteps,ep_len_mean,policy_loss,value_loss,fps,true_reward,clipfrac,ep_reward_mean,time_elapsed,approxkl
2282,0.9884666297584772,-6.833305,114100000,1141000,8.26,0.0027094672,0.0072100307,7967,0.0991511,0.23667793,0.3061047509260243,15049.358262300491,0.019442603
2283,0.9917593793943524,-6.8295703,114150000,1141500,8.23,0.003445374,0.0054016523,8258,0.09908092,0.26467994,0.22921101408428513,15056.015295743942,0.0230764
2284,0.9912961665540934,-6.828624,114200000,1142000,7.44,0.0032048782,0.0058219223,8233,0.09921169,0.22739197,0.1626696668169461,15062.651484489441,0.018575083
2285,0.9926189933903515,-6.8098106,114250000,1142500,7.04,0.00334872,0.0050855805,8212,0.09923874,0.23117201,0.16884289289853768,15069.307799577713,0.018260635
2286,0.9905362874269485,-6.797943,114300000,1143000,9.51,0.0028573005,0.006216443,8285,0.09920709,0.214936,0.40827606094389923,15075.755962610245,0.017273273
2287,0.9914081720635295,-6.788498,114350000,1143500,9.01,0.0039932267,0.0057595656,8327,0.0992293,0.26145,0.41235251905134646,15082.404038906097,0.023178473
2288,0.9913602722808719,-6.782819,114400000,1144000,9.17,0.0027906094,0.0059127314,8118,0.09908322,0.23202202,0.3366849992593052,15088.962744235992,0.019319113
2289,0.9908886468037963,-6.7894063,114450000,1144500,7.27,0.0030440826,0.0060306173,8234,0.099098966,0.24243397,0.13570953784364975,15095.682931661606,0.02133762
2290,0.9932110221125185,-6.8028703,114500000,1145000,8.1,0.0028883978,0.0045238337,8203,0.09912454,0.21118797,0.19239414677169406,15102.38290810585,0.016472224
2291,0.9914675354957581,-6.8029604,114550000,1145500,9.23,0.0035520988,0.0055480893,8304,0.09926486,0.262946,0.3536365137953544,15109.028891563416,0.0231757
2292,0.991231394931674,-6.797086,114600000,1146000,8.78,0.0035285216,0.005908283,8699,0.099234305,0.23116201,0.3403965448637609,15115.522637367249,0.019700788
2293,0.990754765458405,-6.7933874,114650000,1146500,7.82,0.00209047,0.0060428097,8492,0.09902741,0.24585594,0.23688431120535824,15121.74127483368,0.021070175
2294,0.9921991643495858,-6.787982,114700000,1147000,9.96,0.003158286,0.0052224547,8299,0.09921592,0.22610801,0.4425999652946484,15128.201835870743,0.018821342
2295,0.9934961632825434,-6.7882953,114750000,1147500,7.82,0.002711034,0.004379555,8387,0.0990719,0.21801996,0.2237399512261618,15134.601544380188,0.017992597
2296,0.9920082315802574,-6.7838025,114800000,1148000,9.99,0.0022776031,0.0054834946,8299,0.099051885,0.24096602,0.4723485632360098,15141.125642299652,0.019433986
2297,0.9922809987328947,-6.7723045,114850000,1148500,9.17,0.0031225132,0.005287004,8101,0.09911238,0.242748,0.3987995626631891,15147.69036769867,0.020359995
2298,0.9937020489014685,-6.7707,114900000,1149000,7.62,0.0040448587,0.004344094,8483,0.099145286,0.25346196,0.22468223838397536,15154.298146486282,0.021421526
