serial_timesteps,approxkl,total_timesteps,time_elapsed,ep_len_mean,n_updates,ep_reward_mean,value_loss,explained_variance,policy_loss,fps,clipfrac,policy_entropy,true_reward
71000,0.0078356825,7100000,467.7160086631775,499.54,142,42.04034779190345,0.037894856,0.9503256902098656,-0.004235515,17596,0.103074014,2.1860113,0.083596475
71500,0.008342401,7150000,470.99316120147705,499.49,143,42.44911165404063,0.05216965,0.948330607265234,-0.004912712,17301,0.110716,2.1573598,0.08440352
72000,0.0069647594,7200000,474.24987268447876,500.0,144,41.48060346300141,0.032294225,0.9638043381273746,-0.005387278,16461,0.08458799,2.1389978,0.08296121
72500,0.0066350196,7250000,477.76228308677673,500.0,145,42.50153901255413,0.030101199,0.9551336318254471,-0.0040918053,15191,0.080196016,2.1161005,0.08500308
73000,0.009602223,7300000,481.46619057655334,500.0,146,42.465278902182035,0.03706827,0.9383876547217369,-0.0045030015,17354,0.13286398,2.0802588,0.084930554
73500,0.0074437135,7350000,484.9014573097229,500.0,147,41.61871857730443,0.031390086,0.9683249555528164,-0.0057847225,17699,0.09408198,2.048336,0.08323744
74000,0.009549262,7400000,488.20529103279114,500.0,148,42.35621713718423,0.044783663,0.9464780800044537,-0.0048974645,15505,0.13052396,2.0204704,0.08471243
74500,0.006268534,7450000,491.8130269050598,500.0,149,42.66287164098861,0.017399268,0.9638936370611191,-0.0049061715,15623,0.07317401,1.996804,0.085325755
75000,0.006558061,7500000,495.52497911453247,500.0,150,42.4096740248747,0.020458952,0.9718748591840267,-0.005340843,14901,0.07771799,1.9597713,0.08481935
75500,0.009830272,7550000,499.34260654449463,499.36,151,42.12244225483135,0.08139389,0.9197272881865501,-0.0044474695,17385,0.13441803,1.9220757,0.08366681
76000,0.006870898,7600000,502.5660488605499,500.0,152,41.95001674630452,0.029040968,0.964840654283762,-0.005711386,20085,0.08258,1.8865135,0.08390003
76500,0.010239945,7650000,505.5345220565796,499.35,153,42.33628177186325,0.048373275,0.9392199665307999,-0.0037924158,19403,0.14322,1.8667644,0.08406449
77000,0.008010618,7700000,508.6393303871155,500.0,154,43.01403223058616,0.016769938,0.9615067057311535,-0.004630021,19711,0.104422025,1.8365675,0.08602807
77500,0.0067568775,7750000,511.647513628006,499.49,155,41.79577723309539,0.038136803,0.9565271846950054,-0.0042289854,18056,0.084208004,1.8106204,0.08314796
78000,0.009544753,7800000,514.8940649032593,499.32,156,41.65870735489896,0.06384243,0.9453610107302666,-0.0043039713,18407,0.12873201,1.7968924,0.08278312
78500,0.0067355465,7850000,518.2056596279144,498.9,157,41.14495662673531,0.07874503,0.9549544863402843,-0.0054600937,17786,0.079026,1.7855763,0.08141066
79000,0.009569184,7900000,521.4668705463409,500.0,158,42.08250237596421,0.030197702,0.961743276566267,-0.0050194757,22174,0.13355203,1.7767608,0.084165
79500,0.0058895964,7950000,524.3526248931885,499.45,159,42.26225343742808,0.031721137,0.967115942388773,-0.0052680587,17582,0.06609201,1.7574241,0.08399663
80000,0.008026397,8000000,527.6607973575592,499.38,160,42.775778765618305,0.030225027,0.9634971916675568,-0.004802993,15835,0.10430799,1.7373924,0.08494054
80500,0.0072424705,8050000,531.2921028137207,500.0,161,42.67181874706443,0.019304013,0.9643453173339367,-0.0048319623,16749,0.09010598,1.7055882,0.08534363
81000,0.007085691,8100000,534.7742483615875,500.0,162,42.86812204275424,0.014889728,0.9710170328617096,-0.0052502328,17759,0.087532006,1.6648695,0.08573625
81500,0.011409969,8150000,538.0954024791718,500.0,163,43.42368074410122,0.031128397,0.9468853212893009,-0.0030246556,18221,0.16434601,1.6422124,0.086847365
82000,0.009472716,8200000,541.2907588481903,500.0,164,43.47523702004783,0.025411468,0.9390517212450504,-0.0045233374,18101,0.12695199,1.6276225,0.08695048
82500,0.0080128545,8250000,544.4206845760345,499.35,165,42.54783027056405,0.062112298,0.9216475561261177,-0.0040544616,17962,0.10162402,1.602186,0.08452157
83000,0.010609222,8300000,547.74773478508,499.16,166,42.72376751993676,0.106013976,0.8798099607229233,-0.005148148,18360,0.14658,1.580245,0.08485427
83500,0.0077819224,8350000,551.0173649787903,500.0,167,41.890037850639004,0.037094187,0.9455309994518757,-0.0049606087,18110,0.100967996,1.5618211,0.083780065
84000,0.0063348473,8400000,554.2712755203247,500.0,168,43.15695634680596,0.011279149,0.9695335533469915,-0.004104936,18590,0.075547986,1.5400575,0.0863139
84500,0.008621762,8450000,557.4076256752014,499.52,169,42.69104105203278,0.027740596,0.9632876515388489,-0.005152577,17064,0.113930024,1.50763,0.08494538
