n_updates,true_reward,serial_timesteps,explained_variance,time_elapsed,ep_reward_mean,fps,policy_entropy,approxkl,value_loss,policy_loss,ep_len_mean,total_timesteps,clipfrac
1029,0.12394167,514500,0.8832386881113052,6993.805842638016,1.7241661823791947,7956,-6.5566754,0.0254479,2.6899729,-0.000255807,47.53,51450000,0.29536796
1030,0.11417758,515000,0.887934111058712,7000.467833280563,1.812023225876328,7930,-6.5550084,0.025810378,2.5660632,-0.0014157584,50.96,51500000,0.30498797
1031,0.12195931,515500,0.8640134781599045,7007.192490816116,2.2653263614366006,8067,-6.5568056,0.02697237,2.8875785,0.0005227379,41.84,51550000,0.310614
1032,0.1272946,516000,0.8705710768699646,7013.976850509644,1.9905714020750747,7689,-6.553499,0.02855187,2.7290635,0.0012637903,43.54,51600000,0.321316
1033,0.11563389,516500,0.8764488697052002,7020.963533878326,1.7227393291759654,8105,-6.5480614,0.02686131,2.7095935,-0.00020444319,45.09,51650000,0.30746996
1034,0.12916344,517000,0.8789941668510437,7027.498881816864,1.7048647632077336,8249,-6.552514,0.026293917,2.803002,0.00041922403,47.0,51700000,0.30450204
1035,0.12783833,517500,0.8559711128473282,7034.014227151871,2.118456558064354,7889,-6.557237,0.02602934,3.0841632,-0.00080602674,43.94,51750000,0.301148
1036,0.12973985,518000,0.8887534961104393,7041.000512123108,2.847023568742443,7709,-6.562357,0.027255466,2.4108872,-0.0015602702,49.49,51800000,0.310788
1037,0.12300234,518500,0.8835220113396645,7047.947324514389,3.0718196088902916,8034,-6.5675745,0.027257405,2.497106,-0.00016479332,54.1,51850000,0.31302196
1038,0.120596334,519000,0.8597019016742706,7054.730614900589,2.696271577163716,7674,-6.569888,0.029325888,3.0459852,0.0008882965,52.85,51900000,0.32411802
1039,0.11945574,519500,0.8604856133460999,7061.801585674286,2.1322355818888172,7777,-6.5623474,0.02730717,3.1097674,0.0007825938,49.92,51950000,0.31279194
1040,0.11835185,520000,0.8739855140447617,7068.739182472229,2.7187206372982473,7882,-6.5590253,0.027460096,2.6268685,0.00020072468,47.96,52000000,0.31395206
1041,0.12830335,520500,0.8794245198369026,7075.399889469147,2.1691662640703,7845,-6.5614347,0.026169851,2.6008496,0.0013551887,47.01,52050000,0.30032802
1042,0.11506711,521000,0.8830239027738571,7082.40345454216,1.8784547605410626,7886,-6.564098,0.02692824,2.6292636,2.5379893e-05,45.03,52100000,0.30861205
1043,0.13008058,521500,0.8625287860631943,7089.388036489487,2.7289720719102477,8055,-6.565302,0.02772385,3.1086564,-0.00016480085,45.0,52150000,0.314122
1044,0.12698646,522000,0.8579495400190353,7096.188830375671,2.598899020211611,7870,-6.561126,0.025211804,3.068246,-0.00047187385,52.73,52200000,0.298648
1045,0.11830012,522500,0.8715029358863831,7102.959774971008,2.2200415426617837,7829,-6.554388,0.026635192,2.889183,-0.0004313037,48.92,52250000,0.309082
1046,0.115595974,523000,0.8977686017751694,7109.927901029587,1.302556126315685,7812,-6.551145,0.02871027,2.376459,0.00033597552,43.46,52300000,0.32169202
1047,0.12121588,523500,0.8781029805541039,7117.02850985527,1.720922519395681,7606,-6.553743,0.026611615,2.6081727,0.00021339308,45.9,52350000,0.307288
