total_timesteps,serial_timesteps,ep_reward_mean,ep_len_mean,true_reward,policy_entropy,explained_variance,approxkl,policy_loss,fps,value_loss,clipfrac,n_updates,time_elapsed
6550000,65500,22.602316189926807,424.11,0.053436566,4.848271,0.9332790970802307,0.002661035,-0.002101255,10092,0.085282825,0.020382,131,662.2859392166138
6600000,66000,23.651892635800706,432.92,0.055016708,4.8425198,0.9367416054010391,0.0032673765,-0.002085754,9997,0.07353107,0.027732,132,667.308737039566
6650000,66500,23.47226418744429,428.37,0.05501553,4.8357224,0.9376850984990597,0.0028291033,-0.0022858023,10053,0.082243465,0.024032,133,672.3751938343048
6700000,67000,23.550095507779293,429.3,0.0546943,4.827886,0.9374108910560608,0.0037805599,-0.0018115587,9974,0.07884184,0.035802,134,677.4161193370819
6750000,67500,23.914537997032344,436.76,0.05525704,4.821671,0.9396844506263733,0.0032456398,-0.0025080768,10024,0.07700178,0.026314,135,682.5092799663544
6800000,68000,24.852863853526795,434.96,0.055797134,4.815358,0.9433914758265018,0.0042960485,-0.0024351608,9984,0.08817597,0.045672,136,687.5768859386444
6850000,68500,23.739668418289092,416.53,0.055930167,4.808903,0.9381930194795132,0.0026635914,-0.0018779535,9968,0.09354681,0.018779999,137,692.6669230461121
6900000,69000,25.520316814085835,453.7,0.056770895,4.8006043,0.9376743286848068,0.003779715,-0.002565795,10014,0.06997328,0.03711,138,697.7529735565186
6950000,69500,24.577125541260994,428.05,0.056691885,4.7906313,0.9422160014510155,0.003124974,-0.002462491,9961,0.09309357,0.027686,139,702.81276512146
7000000,70000,24.987784232281484,428.7,0.05772081,4.7840476,0.9470097944140434,0.0033256828,-0.0021396328,9953,0.07495828,0.030127998,140,707.9170918464661
7050000,70500,25.55871373954775,435.28,0.058477066,4.7791314,0.9475001357495785,0.0033828046,-0.0024255652,9959,0.078264736,0.031016001,141,713.01500415802
7100000,71000,26.408664767061165,447.02,0.05877616,4.772497,0.9415099881589413,0.0040711486,-0.0025404603,10040,0.07374026,0.042675994,142,718.1531178951263
7150000,71500,26.176309496388743,441.38,0.05868835,4.7644873,0.9482858888804913,0.0036607564,-0.0023098742,10060,0.07292752,0.034169998,143,723.194473028183
7200000,72000,26.412866241906645,449.35,0.057578582,4.7562575,0.9483400173485279,0.004278673,-0.0024621855,9961,0.07547262,0.044976,144,728.2307946681976
7250000,72500,27.558315039071857,454.83,0.060003135,4.7505655,0.9494979754090309,0.0034011337,-0.002451604,9974,0.065468915,0.031868003,145,733.3287718296051
7300000,73000,27.626375033088856,450.94,0.05963619,4.744076,0.9537255316972733,0.0041666776,-0.0027130279,9971,0.064154886,0.043300003,146,738.4099209308624
7350000,73500,27.39856816966778,449.76,0.05920335,4.7386913,0.945478368550539,0.004888024,-0.002108728,10043,0.0919209,0.054779995,147,743.5217468738556
7400000,74000,28.345321750950824,454.96,0.060865797,4.731048,0.945216216146946,0.0037971889,-0.002794184,9872,0.08124353,0.033021998,148,748.575747013092
7450000,74500,28.442340817400474,456.92,0.06129295,4.7223883,0.9542453810572624,0.0033534474,-0.0020337026,10092,0.061662048,0.029156,149,753.7061648368835
7500000,75000,27.618562607167345,447.31,0.059411354,4.7127223,0.9332864880561829,0.0034973335,-0.0028356654,10133,0.124277234,0.030265998,150,758.7246928215027
7550000,75500,29.0353822392093,458.13,0.06270473,4.706334,0.9593994058668613,0.0033863746,-0.0026680243,10037,0.05517044,0.029406002,151,763.736300945282
7600000,76000,27.499587208988522,435.77,0.061988402,4.6968393,0.9598161242902279,0.0033524476,-0.0025018328,10066,0.06958537,0.033088,152,768.7812445163727
7650000,76500,27.92461954969898,448.61,0.06030756,4.6867723,0.9556601457297802,0.004237454,-0.0029709344,10069,0.0772373,0.04564,153,773.8398172855377
7700000,77000,28.36281751859955,445.02,0.06294795,4.6761656,0.9504938796162605,0.003650011,-0.0028973687,10079,0.07779133,0.035113998,154,778.8689692020416
7750000,77500,28.58713845927098,445.92,0.060727183,4.667575,0.9147892072796822,0.0031660914,-0.0031750177,10133,0.23592952,0.024996,155,783.9067990779877
7800000,78000,29.08124534775374,454.01,0.06294723,4.6625357,0.9587798602879047,0.003705946,-0.0019658972,10015,0.063353635,0.035448,156,788.9118537902832
7850000,78500,26.913131789077624,443.45,0.054930005,4.656554,0.9048451110720634,0.0026324058,-0.002303271,9974,0.40979615,0.017918,157,793.9798331260681
7900000,79000,25.86544191089906,439.14,0.055936832,4.6548643,0.946115504950285,0.003464071,-0.00191436,10120,0.18848261,0.030594,158,799.0681285858154
7950000,79500,28.329945972265723,460.24,0.06060639,4.6535654,0.9555087611079216,0.0044370787,-0.0023725443,10169,0.07445765,0.049662,159,804.0795307159424
8000000,80000,29.157164534525158,461.84,0.06236222,4.648159,0.9546713903546333,0.0041908594,-0.0027037268,10086,0.073452316,0.043168,160,809.0634355545044
8050000,80500,29.076541472084354,450.84,0.06030837,4.641471,0.944524984806776,0.0033520595,-0.0034058117,10098,0.14131215,0.028264001,161,814.1205484867096
8100000,81000,26.84996685796652,462.4,0.056898046,4.637845,0.9007770195603371,0.0034911823,-0.0023654574,10052,0.5859579,0.029714,162,819.155365228653
8150000,81500,29.039985645895868,453.3,0.06294,4.636565,0.9591267220675945,0.0032653243,-0.0028635797,10068,0.07018601,0.028302003,163,824.1954951286316
8200000,82000,29.040700102088923,451.27,0.06340179,4.6344423,0.9604328237473965,0.0031567104,-0.0030297893,9971,0.06899401,0.030554,164,829.2299997806549
8250000,82500,29.59278233647312,466.44,0.06340524,4.6294794,0.9611887894570827,0.0030520991,-0.0026113633,9994,0.054854818,0.0276,165,834.308844089508
8300000,83000,29.26486638769351,457.03,0.06335906,4.6236634,0.9588781632483006,0.0037321977,-0.0029039485,10046,0.064698935,0.037364002,166,839.3848130702972
8350000,83500,29.403158404270506,462.96,0.06242314,4.6180296,0.9581629671156406,0.0030832526,-0.0024975643,9955,0.05907942,0.027754,167,844.4446759223938
8400000,84000,29.513348077354895,460.33,0.06316386,4.6078324,0.9589826241135597,0.0037214286,-0.0028496524,10092,0.060207315,0.036008,168,849.5334603786469
8450000,84500,30.149630754792888,470.65,0.063658066,4.59721,0.9607119783759117,0.0037077374,-0.0029071877,10036,0.055346776,0.036447998,169,854.551527261734
8500000,85000,30.241269652167247,462.38,0.064326614,4.591773,0.9644660577178001,0.003378051,-0.0024765418,10065,0.0539715,0.030562002,170,859.5943777561188
8550000,85500,30.58560184103182,477.66,0.06368506,4.5860906,0.9632996059954166,0.003468162,-0.0027186994,10124,0.04598776,0.033324,171,864.6349682807922
8600000,86000,30.146501843263685,462.12,0.06317636,4.575618,0.9589187279343605,0.0049202954,-0.0024335242,10026,0.06799832,0.056312006,172,869.6512327194214
