serial_timesteps,fps,policy_loss,approxkl,ep_reward_mean,n_updates,time_elapsed,total_timesteps,true_reward,ep_len_mean,explained_variance,value_loss,clipfrac,policy_entropy
2138500,7941,-0.002988065,0.029374642,1.719753593397545,4277,28880.378789186478,213850000,0.03146553,55.21,0.9779649116098881,0.013066546,0.31654197,-5.9070673
2139000,7888,-0.002548703,0.029986493,1.8432344864452899,4278,28887.255320072174,213900000,0.030525962,60.13,0.9827628433704376,0.009999646,0.320722,-5.9036684
2139500,7887,-0.002224117,0.029527554,1.7747945078957128,4279,28893.818047761917,213950000,0.032254495,55.84,0.9812541492283344,0.010791609,0.316794,-5.893005
2140000,8030,-0.0035859153,0.027570637,1.8999230817189527,4280,28900.755163669586,214000000,0.03162613,55.08,0.9833079855889082,0.009453244,0.30460393,-5.883645
2140500,8134,-0.0043306686,0.028442262,1.7905517316713668,4281,28907.689101457596,214050000,0.031828035,57.18,0.9819354638457298,0.010306578,0.313992,-5.8893986
2141000,8028,-0.005079687,0.026452364,1.9951732334276313,4282,28914.441170692444,214100000,0.032891758,55.42,0.9856817368417978,0.008382062,0.29512003,-5.897089
2141500,7832,-0.0035102332,0.028049462,1.8825921051559271,4283,28921.199546337128,214150000,0.031681214,57.97,0.9809639770537615,0.010727134,0.30925798,-5.9039693
2142000,7769,-0.0032242774,0.02937063,1.8611746545236383,4284,28928.174309253693,214200000,0.030097833,60.08,0.9820679761469364,0.009890981,0.320798,-5.9119983
2142500,8113,-0.0027609903,0.029467303,1.9501735839117829,4285,28935.21179652214,214250000,0.03054001,57.45,0.9784385915845633,0.012213336,0.318968,-5.903714
2143000,8137,-0.00433838,0.028315205,1.7333410972364072,4286,28941.809549331665,214300000,0.031726364,53.01,0.9795867670327425,0.011999604,0.309744,-5.8950586
2143500,7880,-0.001958269,0.028748477,1.6887964929697046,4287,28948.532175540924,214350000,0.030831628,55.85,0.9795171711593866,0.011613855,0.31364805,-5.90046
2144000,8055,-0.004704532,0.027072994,1.7370659265432187,4288,28955.46738743782,214400000,0.03197693,52.86,0.9822005107998848,0.010864454,0.300898,-5.9149547
2144500,8011,-0.0036930833,0.02796918,1.8927207384013127,4289,28962.316959142685,214450000,0.03248235,52.24,0.9827863518148661,0.010281089,0.310916,-5.9213824
2145000,8043,-0.0034814253,0.029169302,1.5396449967498484,4290,28969.1228556633,214500000,0.031636406,47.52,0.9817164484411478,0.010679238,0.3173501,-5.9186835
2145500,8529,-0.004282197,0.027030298,1.892910162927692,4291,28975.826617717743,214550000,0.03239715,55.02,0.9803683161735535,0.012024132,0.301148,-5.917227
2146000,8136,-0.003180975,0.030978013,2.3054586602379277,4292,28982.176545619965,214600000,0.032048147,61.52,0.9778832774609327,0.012710181,0.32261,-5.908131
2146500,8338,-0.003882129,0.028160632,1.7749352008703863,4293,28988.75557899475,214650000,0.030591777,51.18,0.9799136556684971,0.01110444,0.310338,-5.901036
2147000,8075,-0.0026569036,0.030381508,1.6699768460208724,4294,28995.374197483063,214700000,0.030352803,49.64,0.979790585115552,0.011123789,0.327686,-5.8948717
2147500,7683,-0.0050621927,0.02797132,1.724032796156971,4295,29001.943620681763,214750000,0.031337015,51.97,0.983860706910491,0.0093768565,0.30406204,-5.905306
2148000,7754,-0.003620587,0.029831551,1.4861192997358739,4296,29009.074226379395,214800000,0.030744879,52.81,0.9792778976261616,0.011541727,0.32018596,-5.9079685
2148500,8140,-0.0040465957,0.027661212,1.3954178295773818,4297,29016.124497413635,214850000,0.031287435,46.42,0.9825904928147793,0.010449466,0.31162208,-5.9061546
