fps,time_elapsed,approxkl,policy_entropy,value_loss,explained_variance,clipfrac,serial_timesteps,ep_len_mean,n_updates,ep_reward_mean,policy_loss,true_reward,total_timesteps
7952,25454.39280104637,0.023658384,-5.5535364,0.015186066,0.9969921533484012,0.28331998,1878000,47.58,3756,0.842912149217982,-0.005218865,0.0036829468,187800000
8067,25461.293952941895,0.03015059,-5.551908,0.02365348,0.9956062687560916,0.33048797,1878500,48.86,3757,1.0111173799883546,-0.0027092905,0.010194992,187850000
7950,25468.118713378906,0.024517043,-5.56287,0.015155644,0.9971284838393331,0.29058802,1879000,43.22,3758,0.6904338262937654,-0.005478137,0.0036423001,187900000
8267,25474.965181827545,0.025781386,-5.5721064,0.01603858,0.9970132105518132,0.29975805,1879500,46.98,3759,0.7601499549566801,-0.003068276,0.0040982575,187950000
7817,25481.6099255085,0.024463437,-5.571092,0.014847616,0.9972568359225988,0.292162,1880000,48.94,3760,1.3742686818936545,-0.005988206,0.0049721743,188000000
7798,25488.431497097015,0.024154171,-5.5749874,0.013141526,0.9973121616058052,0.28664398,1880500,43.82,3761,0.7239616798622864,-0.004333262,0.005830186,188050000
7996,25495.370501041412,0.02686549,-5.5724487,0.024557,0.9954521264880896,0.30536202,1881000,41.07,3762,0.823935104782613,-0.0046201884,0.0044845296,188100000
8058,25502.21280860901,0.025912054,-5.574685,0.01778674,0.9964898319449276,0.29982406,1881500,47.28,3763,1.1419263635879906,-0.004402717,0.0044860677,188150000
7894,25508.9240796566,0.02616713,-5.578523,0.016437523,0.996853185351938,0.30159,1882000,49.32,3764,0.9289900263277013,-0.0030086294,0.005589245,188200000
7787,25515.604526519775,0.027174683,-5.5853047,0.019442726,0.9958732342347503,0.30582395,1882500,48.31,3765,0.8180130869387358,-0.0044409065,0.006846454,188250000
8064,25522.593503713608,0.02783402,-5.594705,0.021517241,0.996029139496386,0.31215802,1883000,47.86,3766,1.4570257253444288,-0.0034427634,0.007581349,188300000
8108,25529.096544265747,0.025952246,-5.5947313,0.017351467,0.9965299046598375,0.301208,1883500,46.07,3767,1.5173207352149916,-0.003478558,0.005145581,188350000
8076,25535.733315467834,0.026029903,-5.592823,0.01757757,0.9964059870690107,0.3027239,1884000,45.96,3768,1.4277187886341107,-0.003190546,0.005941583,188400000
8104,25542.377166986465,0.025508845,-5.5929065,0.016653404,0.996785233495757,0.295342,1884500,46.61,3769,1.3661276072654074,-0.004613007,0.0067222705,188450000
8089,25549.155676603317,0.02460134,-5.5917373,0.018788587,0.9963740510866046,0.28916195,1885000,50.23,3770,1.426774464861628,-0.0046521537,0.00890323,188500000
7925,25555.793553113937,0.026112588,-5.59485,0.018124497,0.9964513648301363,0.29963198,1885500,43.95,3771,1.2915904630871227,-0.005356868,0.0048133354,188550000
7691,25562.604910850525,0.028258564,-5.5965123,0.019055385,0.9961829124949872,0.31703198,1886000,44.99,3772,0.9343423669217736,-0.0051171444,0.0072401892,188600000
7957,25569.6076772213,0.02433986,-5.5963635,0.017053198,0.996568685863167,0.28734198,1886500,40.51,3773,0.5617392471793937,-0.0055318307,0.0003526498,188650000
7844,25576.39519572258,0.025731707,-5.591699,0.018404465,0.9961420183535665,0.299804,1887000,45.33,3774,0.9187251740340707,-0.004023621,0.0019727785,188700000
7920,25583.146347999573,0.028337805,-5.5919247,0.024401708,0.9952744930051267,0.31576195,1887500,46.41,3775,1.108369752488943,-0.00451323,0.00602195,188750000
7941,25589.699793338776,0.025587892,-5.600011,0.017068513,0.9966949047520757,0.29935998,1888000,49.91,3776,1.5799152969902934,-0.005146055,0.002486358,188800000
7792,25596.41552710533,0.027449202,-5.5984325,0.026651332,0.9945458765141666,0.31159198,1888500,46.97,3777,1.3026322173448353,-0.004952291,0.0044201566,188850000
7742,25603.24805855751,0.0249389,-5.5968876,0.011586629,0.9976624948903918,0.29552796,1889000,47.5,3778,0.5615833823495268,-0.0054348,0.0067576105,188900000
8212,25609.942566871643,0.023772739,-5.5897975,0.016500272,0.9965409894939512,0.284996,1889500,52.58,3779,1.206065568191152,-0.0059552994,0.0053014494,188950000
8185,25616.246200323105,0.026147876,-5.584122,0.016391812,0.9967667036689818,0.30154,1890000,45.42,3780,1.781412141740102,-0.0052213245,0.007217967,189000000
7866,25622.786137104034,0.027822234,-5.584222,0.021343725,0.9955165493302047,0.313718,1890500,43.95,3781,1.1404176579344494,-0.0025950999,0.0047601424,189050000
8091,25629.49933743477,0.02570136,-5.5885377,0.01857091,0.9962356060277671,0.297264,1891000,45.11,3782,0.9764747055887255,-0.0039025303,0.0047681658,189100000
8161,25636.156155347824,0.027753526,-5.5958495,0.019755702,0.9960491168312728,0.31343207,1891500,44.17,3783,0.6343305765516197,-0.0039410745,0.0055440217,189150000
8332,25642.824892520905,0.024413928,-5.598853,0.0149666825,0.9972293491009623,0.2913,1892000,47.24,3784,0.26643106686071405,-0.004014346,0.0044096285,189200000
7874,25649.278583049774,0.025729127,-5.595929,0.017376477,0.9968125582672656,0.300002,1892500,44.91,3785,0.7902244526201685,-0.004306575,0.0032954565,189250000
8078,25656.180205106735,0.02606437,-5.6102424,0.014244242,0.9971634233370423,0.29999,1893000,48.05,3786,0.941867082965,-0.005293142,0.0031736162,189300000
7939,25662.81162762642,0.025802014,-5.612355,0.01630029,0.9968286822549999,0.30001003,1893500,47.85,3787,0.9540139273111709,-0.005646606,0.010599591,189350000
8225,25669.641523838043,0.026140764,-5.607146,0.018944768,0.9962422228418291,0.30121005,1894000,43.33,3788,0.7711549647485663,-0.0058396542,0.0025043432,189400000
8461,25676.268089532852,0.02443324,-5.6088424,0.012126904,0.9976749704219401,0.28922996,1894500,45.7,3789,1.06598135263127,-0.0053217905,0.007954796,189450000
8188,25682.732793569565,0.025068827,-5.6021447,0.015754394,0.9970010304823518,0.29571396,1895000,47.35,3790,1.6683774081442244,-0.0047919773,0.01131871,189500000
8154,25689.121651411057,0.030132651,-5.5969505,0.028675852,0.994631230365485,0.32689807,1895500,43.83,3791,0.7193621065337561,-0.0020760007,0.005719282,189550000
8273,25695.805961847305,0.026307495,-5.5984097,0.016795302,0.9967296477407217,0.30319205,1896000,50.2,3792,1.1862884482472078,-0.004102671,0.008594517,189600000
