fps,value_loss,true_reward,clipfrac,policy_entropy,explained_variance,approxkl,serial_timesteps,n_updates,ep_len_mean,time_elapsed,policy_loss,total_timesteps,ep_reward_mean
8192,0.2699584,0.06594112,0.040496003,3.0815,0.967255849391222,0.004178228,73000,146,490.66,972.22039103508,-0.0048382417,7300000,37.39757162031923
7939,0.13438204,0.0762939,0.10149199,3.0868058,0.9638645276427269,0.007681635,73500,147,496.61,978.8679442405701,-0.0051849717,7350000,39.65583079390688
8189,0.15157516,0.070747405,0.048971996,3.0700288,0.9745982363820076,0.0046467097,74000,148,492.61,985.6595678329468,-0.0050451593,7400000,38.57437223036688
7959,0.11353486,0.071033634,0.12142798,3.0523543,0.9740036968141794,0.008716351,74500,149,495.61,992.2171928882599,-0.0052653723,7450000,37.45423088641335
8144,0.45892605,0.061143875,0.04949401,3.0390432,0.9527657479047775,0.00480921,75000,150,487.07,998.9995799064636,-0.0067385,7500000,36.45863813964581
7855,0.093745545,0.07516435,0.055852007,3.0348468,0.9706983845680952,0.005190214,75500,151,498.31,1005.4603860378265,-0.005035394,7550000,38.29057576536357
8523,0.129341,0.073400736,0.09063999,3.0160766,0.9691909849643707,0.0071825916,76000,152,496.4,1012.3251614570618,-0.0046368786,7600000,38.302211113805534
8095,0.16422346,0.07002325,0.062477995,3.0084417,0.972891379147768,0.005460126,76500,153,493.89,1018.8219826221466,-0.0043114563,7650000,37.84497918497849
8016,0.12070431,0.07314399,0.038998,3.0007124,0.9727224558591843,0.004262539,77000,154,495.85,1025.452804327011,-0.004131722,7700000,38.25411208917468
8113,0.11869277,0.07143823,0.09982398,2.9711366,0.9771190844476223,0.0076411874,77500,155,493.74,1032.2958438396454,-0.0041988287,7750000,38.30757584938908
8119,0.29210606,0.06815351,0.057153996,2.9539106,0.955378707498312,0.0053567453,78000,156,493.61,1038.848777770996,-0.005393762,7800000,37.055074517720534
8208,0.2218591,0.06964052,0.046612002,2.9428213,0.9662713557481766,0.004738622,78500,157,493.22,1045.5612030029297,-0.00604243,7850000,37.76059963283665
8219,0.11483241,0.073706165,0.082968,2.9244204,0.971392959356308,0.0067069517,79000,158,497.66,1052.1031703948975,-0.0047768154,7900000,37.97424925411238
8262,0.124863826,0.06965113,0.072392,2.9011652,0.9780105035752058,0.0060570603,79500,159,495.31,1058.573163509369,-0.004718857,7950000,36.84212074001312
8248,61.098366,0.030479763,0.036093995,2.907135,0.3118506073951721,0.009937749,80000,160,491.65,1065.2825419902802,-0.0046087606,8000000,36.944892775937184
8152,0.07577517,0.07697584,0.06390601,2.8962748,0.9747852627187967,0.005604803,80500,161,497.69,1071.8671426773071,-0.00451043,8050000,39.420291189812666
8122,0.19898027,0.07308573,0.07492799,2.8766537,0.9616107121109962,0.0063463543,81000,162,494.04,1078.5122187137604,-0.0034000739,8100000,39.18207010962269
8442,0.060429715,0.0776634,0.07139399,2.8630369,0.9756583049893379,0.0061865505,81500,163,498.83,1085.2569432258606,-0.004449415,8150000,39.32016765533908
8088,0.12173728,0.06780688,0.052528005,2.8389673,0.9811102822422981,0.004947768,82000,164,492.63,1091.8024282455444,-0.00490232,8200000,36.93597226064234
8120,0.09033471,0.07708153,0.07675201,2.8266375,0.9716221801936626,0.0063822456,82500,165,497.6,1098.5503730773926,-0.00482589,8250000,39.58908695898938
7972,0.13633864,0.07440978,0.073442005,2.8048098,0.9672545865178108,0.0062107253,83000,166,496.23,1105.0624318122864,-0.0052924682,8300000,38.954794794991486
7952,0.051400017,0.078842536,0.059482,2.7824874,0.978643748909235,0.0054286183,83500,167,499.48,1111.7561664581299,-0.0046993634,8350000,39.7517201627583
8043,0.052257806,0.07727127,0.05173799,2.760444,0.9804625958204269,0.0050133877,84000,168,498.78,1118.4680004119873,-0.0055326875,8400000,39.14721722730525
7834,0.09805484,0.077514715,0.064706,2.729499,0.9678825363516808,0.005847462,84500,169,498.71,1125.2560770511627,-0.0046162624,8450000,39.267266202240734
7856,0.123893745,0.07531332,0.10091598,2.712314,0.9640121534466743,0.007687809,85000,170,497.99,1132.1424627304077,-0.0051403954,8500000,38.801179194306826
8129,0.23046713,0.06993757,0.048112,2.7038043,0.9594826959073544,0.0048803543,85500,171,493.95,1139.0516865253448,-0.0043640593,8550000,37.91836365403842
8097,0.07158901,0.078404844,0.055046,2.6972964,0.975285317748785,0.0052217124,86000,172,498.12,1145.7739560604095,-0.0056766733,8600000,39.94740272056508
