policy_entropy,approxkl,true_reward,explained_variance,policy_loss,time_elapsed,clipfrac,n_updates,serial_timesteps,fps,ep_len_mean,total_timesteps,value_loss,ep_reward_mean
2.977394,0.005800222,0.029996408,0.9778774883598089,-0.00877249,911.309100151062,0.066702,135,67500,7478,339.17,6750000,0.10196287,12.0482379527802
2.9570382,0.006434962,0.030432345,0.9711753334850073,-0.009355857,918.5508418083191,0.07828599,136,68000,8025,347.01,6800000,0.11580788,11.812322576766327
2.933179,0.006184632,0.03509873,0.9774274826049805,-0.008696829,925.3342814445496,0.073457986,137,68500,8002,320.05,6850000,0.09342615,12.594999037954413
2.9089887,0.0062950887,0.033629104,0.9770950376987457,-0.0093197785,932.1906690597534,0.074984,138,69000,7857,357.44,6900000,0.0917522,12.715894734791373
2.8911881,0.0060693286,0.034787394,0.9769226405769587,-0.00926601,939.0703537464142,0.071927994,139,69500,7951,273.43,6950000,0.09899568,10.970890915475465
2.87813,0.0063331914,0.031738907,0.9756811764091253,-0.008948654,945.9395027160645,0.07733202,140,70000,8126,304.38,7000000,0.10149836,10.243859884087314
2.8534012,0.0056770826,0.035108138,0.9741018023341894,-0.008650928,952.6921410560608,0.064728,141,70500,7869,235.45,7050000,0.11644611,9.797766017243884
2.8235078,0.00582752,0.035891976,0.9723386764526367,-0.008353581,959.6142251491547,0.06736602,142,71000,7838,240.65,7100000,0.1149672,9.892713411906497
2.79789,0.005709362,0.03861991,0.9755216464400291,-0.008834248,966.4512524604797,0.06611001,143,71500,8060,211.77,7150000,0.12082603,9.16775745460407
2.7758634,0.005489666,0.03814714,0.9765288978815079,-0.009051762,973.017906665802,0.06255999,144,72000,7969,220.11,7200000,0.10874613,10.139007891212877
2.759475,0.005598903,0.04048554,0.9705460276454687,-0.008723224,979.9165229797363,0.06413801,145,72500,8055,212.71,7250000,0.12853047,10.476996285179666
2.736344,0.0068322504,0.03459396,0.9719144720584154,-0.008143753,986.6771938800812,0.082421996,146,73000,7766,357.58,7300000,0.11078355,12.284387138620495
2.7105181,0.0054117823,0.038309433,0.9783554244786501,-0.008175525,993.5856156349182,0.060176004,147,73500,7840,256.1,7350000,0.08704619,10.963196644276831
2.6937897,0.005980363,0.034832105,0.9766093902289867,-0.009506803,1000.5016000270844,0.07105,148,74000,8148,302.13,7400000,0.10183124,11.351554077788423
2.667939,0.005656654,0.04125133,0.9742228835821152,-0.008427701,1007.1644792556763,0.063142,149,74500,7649,203.35,7450000,0.119065255,9.832994712676973
2.6479483,0.005898116,0.034877945,0.9735974092036486,-0.008992484,1014.1948103904724,0.07005999,150,75000,8005,201.47,7500000,0.10087425,8.251662668610406
2.6304286,0.005191639,0.042773895,0.9709804337471724,-0.0080111595,1020.8883697986603,0.058138,151,75500,7963,216.36,7550000,0.1366779,10.653140665679711
2.6049328,0.0058855624,0.030580655,0.9720798525959253,-0.008732136,1027.8069007396698,0.06836999,152,76000,8131,400.06,7600000,0.09541725,12.573028340750898
