value_loss,true_reward,clipfrac,ep_len_mean,time_elapsed,policy_entropy,approxkl,ep_reward_mean,serial_timesteps,total_timesteps,policy_loss,fps,explained_variance,n_updates
0.00025427146,0.08474957,0.26716802,20.65,29305.60912847519,-7.3251786,0.021347674,1.1686373752355577,2251000,225100000,-2.4649338e-05,8107,0.9996108991617803,4502
0.0002394099,0.086228654,0.27428004,23.75,29312.32811164856,-7.3220415,0.022024546,1.315854244530201,2251500,225150000,0.000111633984,8403,0.999659785622498,4503
0.0012834951,0.08587942,0.32811803,22.19,29318.5374584198,-7.323658,0.03209007,1.229922190606594,2252000,225200000,0.001524416,8018,0.9980172915384173,4504
0.0002387214,0.085166916,0.26753405,20.06,29325.12325501442,-7.333082,0.02143868,1.0422159406542777,2252500,225250000,-7.615249e-05,8296,0.9996573260286823,4505
0.0002442613,0.08606877,0.26860398,23.8,29331.690413236618,-7.33687,0.02165222,1.3988625738024711,2253000,225300000,0.001163985,8442,0.9996579707658384,4506
0.00022605958,0.08653535,0.26737,21.91,29338.187628269196,-7.339981,0.021383692,1.253658781349659,2253500,225350000,0.00092541025,8191,0.9996851058094762,4507
0.00022212382,0.08617922,0.275832,19.3,29344.701313734055,-7.343953,0.022186203,0.994115297794342,2254000,225400000,0.0005671803,8300,0.999709359719418,4508
0.00022437371,0.086649336,0.262932,20.93,29351.255148649216,-7.351867,0.02087327,1.1251569706201554,2254500,225450000,8.181648e-05,8128,0.9997018605063204,4509
0.00022840565,0.085748084,0.276366,18.09,29357.656257867813,-7.3527694,0.02250836,0.9196372985839844,2255000,225500000,0.0004568153,8198,0.9996820984815713,4510
0.001999513,0.086080186,0.39308608,21.46,29364.34210038185,-7.3330445,0.052414842,1.2417511454224586,2255500,225550000,0.002087193,8017,0.9972471047658473,4511
0.00024186097,0.08595674,0.26732796,20.62,29371.161461114883,-7.3286443,0.021255601,1.1444880989193917,2256000,225600000,4.2519787e-05,8509,0.999643082235707,4512
0.00022783496,0.08638524,0.26195595,23.02,29377.675944328308,-7.3315625,0.020677924,1.446782954633236,2256500,225650000,-0.0002539234,8814,0.9996887858142145,4513
0.0017258913,0.08564681,0.36672807,22.41,29383.930901288986,-7.3333797,0.039848253,1.1555886310338974,2257000,225700000,0.0024685448,8217,0.9974149316549301,4514
0.0013035503,0.0858956,0.37092412,23.44,29390.647557020187,-7.3319807,0.038548633,1.380806630551815,2257500,225750000,0.0023778668,8594,0.9979441768955439,4515
0.0016772351,0.086136505,0.34197605,20.44,29397.002724647522,-7.3409257,0.035297193,0.9884625732898712,2258000,225800000,0.0012401821,8532,0.997621537419036,4516
0.0003393701,0.08589592,0.28107598,23.56,29403.472306013107,-7.344659,0.023254449,1.233475897014141,2258500,225850000,0.0012847309,8371,0.9994589893613011,4517
0.00022512836,0.08555335,0.26692,19.73,29410.04542350769,-7.343689,0.02146327,1.0361786437034608,2259000,225900000,0.0005591565,8246,0.9996775653853547,4518
0.0013019391,0.08739017,0.32960996,21.15,29416.69279026985,-7.3446045,0.03158078,1.2458360862731934,2259500,225950000,0.0018820554,8464,0.9982228175504133,4519
0.001101708,0.08548784,0.31232196,20.52,29423.248678684235,-7.3508697,0.028792635,1.0338978961110115,2260000,226000000,0.00038131163,8375,0.9983514349441975,4520
0.0013694536,0.08544846,0.3205621,21.53,29429.671316862106,-7.3520026,0.031598292,1.1755661109089852,2260500,226050000,0.0010215123,8305,0.9980602368013933,4521
0.00023298644,0.087161295,0.27463195,21.71,29436.135524988174,-7.3539553,0.022073345,1.1718522346019744,2261000,226100000,0.00080267474,8504,0.9996626208012458,4522
0.0019362179,0.08484562,0.34922394,22.51,29442.640973567963,-7.343683,0.038719784,1.1959377732872962,2261500,226150000,0.0015040792,8199,0.9971069800667465,4523
0.0011883928,0.08606904,0.34200004,20.78,29449.319485664368,-7.347942,0.03798647,1.118957724571228,2262000,226200000,0.002795614,8202,0.9983426145045087,4524
0.0013658772,0.084049664,0.31662005,20.43,29455.885536670685,-7.3508625,0.02938198,1.101489131450653,2262500,226250000,-0.00028098957,8616,0.9979475007858127,4525
