value_loss,true_reward,clipfrac,explained_variance,total_timesteps,ep_len_mean,time_elapsed,ep_reward_mean,policy_loss,fps,serial_timesteps,approxkl,policy_entropy,n_updates
0.14389488,0.021750247,0.062687986,0.9752150978893042,5250000,70.15,697.0216152667999,3.5957314943586245,-0.0077594835,7946,52500,0.0055347728,3.4107058,105
0.13572408,0.024657669,0.06645001,0.9780831094831228,5300000,72.61,703.6265387535095,3.9733502445473277,-0.008179016,7942,53000,0.005751531,3.3862348,106
0.16393362,0.023113836,0.06815801,0.9752063322812319,5350000,81.82,710.1950809955597,3.7232772348541765,-0.008254822,7987,53500,0.0058319233,3.3615186,107
0.14510198,0.021592258,0.069520004,0.9780781865119934,5400000,81.77,716.7226226329803,4.210224223443874,-0.008134796,8107,54000,0.005869642,3.3438056,108
0.14403798,0.025392551,0.064698,0.9782528299838305,5450000,84.24,723.4139082431793,5.310488733388775,-0.008186881,8081,54500,0.005675825,3.3188398,109
0.15834332,0.022866316,0.070783995,0.9740903917700052,5500000,70.74,730.1399731636047,4.193099749952598,-0.008177273,8028,55000,0.0059860814,3.295178,110
0.15381588,0.025119873,0.07197998,0.9774557445198298,5550000,89.5,736.8769645690918,4.5549434893768925,-0.00815309,8264,55500,0.0060194395,3.275853,111
0.13429135,0.020820605,0.069110006,0.9784195590764284,5600000,75.07,743.5259177684784,4.032201448754349,-0.00861811,8249,56000,0.005896669,3.2592196,112
0.13814618,0.023288498,0.074251994,0.9774959571659565,5650000,93.84,750.0806152820587,4.727399973058055,-0.008925383,8074,56500,0.006148764,3.2476742,113
0.12939344,0.024609357,0.06996999,0.9795453362166882,5700000,97.39,756.6477890014648,5.3101750824870395,-0.008151524,8079,57000,0.005948972,3.2257364,114
0.1514489,0.025607228,0.06647801,0.9778424352407455,5750000,102.44,763.299768447876,5.893423438632162,-0.008392222,8256,57500,0.005781092,3.1966767,115
0.13101408,0.020065108,0.07459199,0.9784172363579273,5800000,88.0,769.6146557331085,4.499894069799193,-0.00870075,8077,58000,0.0062050465,3.1704006,116
