true_reward,value_loss,policy_loss,fps,approxkl,ep_reward_mean,n_updates,policy_entropy,explained_variance,time_elapsed,clipfrac,ep_len_mean,serial_timesteps,total_timesteps
0.15259315,0.0011018203,0.0014506376,7944,0.027023854,6.236147192685666,8404,-8.057188,0.999815171919181,56384.084619522095,0.30964795,55.2,4202000,420200000
0.15043156,0.0015751149,0.00087278127,7991,0.029209523,4.773737721074577,8405,-8.050567,0.9997529496031348,56391.01660990715,0.32466802,45.97,4202500,420250000
0.1513423,0.0010477747,0.0018830505,8106,0.026786089,5.256263473677993,8406,-8.04988,0.9998280341096688,56397.773963451385,0.30881402,48.54,4203000,420300000
0.15047273,0.0012665784,0.0011654086,8236,0.02694667,4.886213911279519,8407,-8.057356,0.9997939544846304,56404.31198525429,0.309698,46.61,4203500,420350000
0.14995289,0.0013564214,-0.00029402255,8172,0.028695999,5.020152073300896,8408,-8.06031,0.9997709912422579,56411.023721933365,0.31113797,49.17,4204000,420400000
0.14928764,0.0012874817,0.0005817068,8201,0.027528472,5.357510835779121,8409,-8.056351,0.9997742643026868,56417.57396245003,0.304018,51.09,4204500,420450000
0.1536008,0.0010733849,0.0033153167,7930,0.027180817,4.795782869296781,8410,-8.052901,0.9998038336634636,56424.10577368736,0.31131005,45.49,4205000,420500000
0.15132609,0.0010987552,0.00075683073,8160,0.02591093,4.851975436306421,8411,-8.044766,0.9997968895622762,56430.94148802757,0.29996604,49.21,4205500,420550000
0.14834575,0.007391805,-0.0017373567,8240,0.13983595,5.055247703461955,8412,-8.037019,0.9988361169816926,56437.422093153,0.35467193,45.98,4206000,420600000
0.14914373,0.0029301485,-0.00086421793,7836,0.04190355,5.021694346559744,8413,-8.0452385,0.9994967686361633,56443.94906568527,0.343158,49.44,4206500,420650000
0.15121453,0.0013512869,0.0020787152,7979,0.028089404,6.521397866443326,8414,-8.048901,0.9997669059957843,56450.96993851662,0.31804395,54.45,4207000,420700000
0.15060446,0.0011639487,0.0019266468,7998,0.027462354,4.857363517970316,8415,-8.039901,0.9998003346117912,56457.67442679405,0.31041402,47.65,4207500,420750000
0.14906545,0.0013029033,0.00029360421,8114,0.02693808,5.3551018924954406,8416,-8.031949,0.9997762248676736,56464.50727581978,0.30652,46.75,4208000,420800000
0.15031442,0.0010690781,0.0018719977,8055,0.028055858,5.761671552096796,8417,-8.028041,0.9998196652595652,56471.244643211365,0.31815803,53.57,4208500,420850000
0.1502246,0.0013253218,0.0025581708,8370,0.027644841,3.6414419316713973,8418,-8.028011,0.9997756815282628,56478.025488615036,0.312422,40.88,4209000,420900000
0.1500357,0.0013726078,8.446082e-05,8016,0.025899598,4.100749402536789,8419,-8.030885,0.9997776835225523,56484.234174489975,0.299276,43.9,4209500,420950000
0.15164958,0.0010719423,0.0010391368,7904,0.027389826,5.910649893215305,8420,-8.033938,0.9998155513167148,56490.96529173851,0.31044608,49.79,4210000,421000000
0.14733872,0.0027878224,0.0020613933,7957,0.03773384,4.449369430825772,8421,-8.036952,0.9995311425882392,56497.786430835724,0.357954,47.65,4210500,421050000
0.15005496,0.0011307416,0.001466145,7906,0.027961882,6.414217076531486,8422,-8.03574,0.9998187372693792,56504.48079538345,0.316434,55.58,4211000,421100000
0.15056913,0.0011490124,0.0019740413,7945,0.027069183,4.374837182322201,8423,-8.030559,0.9998028834088473,56511.33721470833,0.30812806,45.98,4211500,421150000
0.15160264,0.0016968385,0.0023171036,8200,0.033017203,4.564709639353432,8424,-8.024626,0.9996992067899555,56517.946907281876,0.33480403,46.34,4212000,421200000
0.15230668,0.0012250514,0.002064371,8305,0.026029486,5.790117236852045,8425,-8.028616,0.9997884048352716,56524.47116112709,0.30395594,50.38,4212500,421250000
0.15233214,0.010304114,-0.000316056,7881,0.06982242,4.275231181879331,8426,-8.020699,0.9986786220688373,56530.80171751976,0.38725808,45.76,4213000,421300000
0.15084042,0.0019647353,-0.0013809702,8362,0.036220133,5.287400102907595,8427,-8.024679,0.9996595337579492,56537.4398188591,0.32681805,49.73,4213500,421350000
0.14976908,0.0011953971,0.0018115345,7842,0.02694228,4.850607922224663,8428,-8.019672,0.9998051416623639,56543.974678993225,0.31032997,46.24,4214000,421400000
0.1504057,0.0012217555,0.0012072725,7979,0.026264304,4.145293694376715,8429,-8.026419,0.9997841346921632,56550.773292303085,0.3032161,43.19,4214500,421450000
0.1461203,0.0012399734,0.0011914301,7897,0.027321123,4.968796333315599,8430,-8.035263,0.9997955635481048,56557.46637058258,0.31279,50.68,4215000,421500000
0.15169202,0.0011190983,0.0010017599,8022,0.02510501,4.285926482319883,8431,-8.026497,0.9998131637839833,56564.317712545395,0.29720005,43.63,4215500,421550000
0.15100202,0.0011783491,0.0017147441,7895,0.025901632,5.8006763842141025,8432,-8.019138,0.9998085050319787,56570.97621631622,0.30191997,50.29,4216000,421600000
0.14816631,0.0017537302,0.0015367413,7762,0.028784141,5.452037881587603,8433,-8.015518,0.999695248901844,56577.676708221436,0.31150794,51.3,4216500,421650000
0.14859504,0.0012808688,0.0007109596,8028,0.026906334,4.382941630654259,8434,-8.018316,0.999778187382617,56584.63977432251,0.304298,46.67,4217000,421700000
0.15230311,0.001238643,0.0008395964,7599,0.026243055,5.430014282275115,8435,-8.012434,0.9997915399289923,56591.33124732971,0.30203804,49.18,4217500,421750000
