serial_timesteps,policy_loss,approxkl,ep_reward_mean,n_updates,fps,ep_len_mean,explained_variance,true_reward,total_timesteps,clipfrac,value_loss,policy_entropy,time_elapsed
1284500,-0.002307557,0.09343201,35.4971343532237,2569,9923,463.35,0.9837525505572557,0.040251072,128450000,0.34035602,0.35914576,-3.9678886,14175.214277267456
1285000,-2.3507262e-05,0.11882758,33.960622943450964,2570,9920,471.03,0.9855440147221088,0.044312637,128500000,0.35783005,0.26364794,-3.980372,14180.62921500206
1285500,0.0028799784,0.15072009,35.126192934611915,2571,9913,472.2,0.9931193357333541,0.04817355,128550000,0.40801197,0.117809534,-3.9852924,14186.208678722382
1286000,0.00857663,0.10539277,35.861725778693874,2572,9917,475.29,0.9917789436876774,0.05130062,128600000,0.46746606,0.12657866,-3.9951224,14191.743922710419
1286500,0.003051972,0.12955348,37.98015965576846,2573,9893,469.83,0.9807265345007181,0.051922787,128650000,0.43173409,0.33449745,-3.9638336,14197.197469949722
1287000,0.0068448614,0.16050354,38.13576850781757,2574,9937,470.84,0.9901188546791673,0.052391738,128700000,0.32956597,0.16580157,-3.9483967,14202.524538040161
1287500,0.0019954084,0.09124399,35.157679455042995,2575,9941,470.43,0.9793146885931492,0.0465852,128750000,0.33938804,0.38395822,-3.9456697,14208.074243545532
1288000,0.0020137639,0.09404748,36.38407043314068,2576,9945,479.87,0.9861044073477387,0.056787636,128800000,0.44563806,0.18216969,-3.9337845,14213.670173406601
1288500,-0.0013959359,0.19904913,33.116215427987385,2577,9962,465.34,0.9861215315759182,0.03803652,128850000,0.357704,0.30508617,-3.9173586,14219.11387014389
1289000,0.0013058478,0.09483636,37.55452149467608,2578,9943,470.73,0.9875214556232095,0.05197345,128900000,0.34902596,0.20708954,-3.8817382,14224.5718998909
1289500,0.0023336983,0.08583334,35.68385853369618,2579,9880,467.41,0.9900176096707582,0.046087172,128950000,0.37816605,0.17951506,-3.8648467,14229.914075613022
1290000,0.0021360063,0.10975269,36.13198678253282,2580,9921,480.25,0.984830854460597,0.05630088,129000000,0.37074006,0.20808756,-3.8447013,14235.502193689346
1290500,-0.0028308118,0.131046,35.069566234432216,2581,9929,460.62,0.9753340408205986,0.040133435,129050000,0.29556802,0.54172367,-3.8519604,14240.890646219254
