serial_timesteps,clipfrac,ep_len_mean,n_updates,true_reward,total_timesteps,value_loss,ep_reward_mean,approxkl,policy_entropy,policy_loss,explained_variance,fps,time_elapsed
1766000,0.4789119,493.96,3532,0.07405132,176600000,0.23508097,40.06611135106157,0.5014009,-5.6622844,0.0043562846,0.9613252021372318,8357,23103.129415988922
1766500,0.492832,493.88,3533,0.07385321,176650000,0.2961101,40.11150772187943,1.3513229,-5.671748,0.008404516,0.9529330022633076,8098,23109.66483283043
1767000,0.40282184,495.18,3534,0.07483475,176700000,0.16926669,39.93823365521482,0.19925573,-5.6783543,0.0010294658,0.9689380880445242,7929,23116.359378814697
1767500,0.35871196,493.6,3535,0.076010704,176750000,0.13265699,41.43200356790998,0.5929871,-5.7021313,0.00075319037,0.9767074417322874,8452,23123.14489841461
1768000,0.3668639,494.26,3536,0.07410751,176800000,0.14546348,40.02817081653857,0.42349228,-5.681737,0.0044784457,0.9759023878723383,7992,23129.580678224564
1768500,0.319506,491.59,3537,0.074022464,176850000,0.23349094,40.79425572243381,0.92938876,-5.664189,0.0012471571,0.9658334851264954,8090,23136.176115989685
1769000,0.43328202,493.54,3538,0.0734418,176900000,0.18369062,39.92344677435871,0.23498417,-5.712065,0.000273336,0.9675468653440475,8331,23142.709560871124
1769500,0.51063,495.37,3539,0.07039936,176950000,0.15391457,37.28947190564382,0.21029048,-5.6987367,0.0031185532,0.9764570016413927,7984,23149.285725593567
1770000,0.520832,493.86,3540,0.07594967,177000000,0.08886471,40.902784698786434,0.2805703,-5.6690965,0.006472151,0.9827127996832132,8094,23155.999759674072
1770500,0.36764,492.65,3541,0.07187964,177050000,0.21584573,39.59986672944651,0.43585148,-5.624364,0.0054275016,0.9682826362550259,7987,23162.71048259735
1771000,0.33600205,491.92,3542,0.06937669,177100000,0.288928,38.62714656778073,0.45568573,-5.6335707,0.0042695045,0.9641722664237022,8286,23169.37400507927
1771500,0.37136796,494.72,3543,0.071561135,177150000,0.20436344,38.606568092198415,0.16923748,-5.633929,0.00022871263,0.9676028899848461,8126,23175.642409563065
1772000,0.39939213,494.74,3544,0.07605606,177200000,0.24490143,40.67613278553581,0.44407737,-5.661414,0.0022937758,0.9556697122752666,8224,23182.286238908768
1772500,0.39342606,494.91,3545,0.0744284,177250000,0.19328552,39.9341438042363,0.41678166,-5.6390243,0.0052031763,0.9679366610944271,8051,23188.783868789673
1773000,0.39187402,496.49,3546,0.07497467,177300000,0.22759661,39.290118029634705,0.4303619,-5.6582756,0.0019207433,0.9557444527745247,8470,23195.580256462097
1773500,0.42346406,491.94,3547,0.07153975,177350000,0.20882279,39.61206360224071,0.16857666,-5.6707835,0.00018827336,0.971651703119278,8338,23202.010902881622
1774000,0.32679397,492.0,3548,0.07063546,177400000,0.47141713,38.93802972716363,0.5430547,-5.7136645,-0.0009584144,0.9364951178431511,7923,23208.511256933212
1774500,0.39736587,493.42,3549,0.0733197,177450000,0.22067739,39.815291630931185,0.6201994,-5.7613373,0.0019824451,0.9646560698747635,8049,23215.392478227615
1775000,0.335328,493.38,3550,0.07158365,177500000,0.1709101,38.864891949409866,0.41811565,-5.786394,0.0041903933,0.9749724678695202,8241,23221.97232413292
1775500,0.3701041,489.67,3551,0.06700484,177550000,0.31538025,38.510455992718,0.5537393,-5.800333,0.001122404,0.9645957872271538,8318,23228.575996398926
1776000,0.37946004,489.85,3552,0.06672014,177600000,0.32737434,38.43786932828685,0.2778348,-5.812312,0.0009218542,0.9658240638673306,8172,23235.102475881577
1776500,0.49879414,498.2,3553,0.07577292,177650000,0.13204794,38.79926173409192,0.20204392,-5.810698,0.008594074,0.9699697718024254,8473,23241.815444469452
1777000,0.44899216,497.34,3554,0.07185069,177700000,0.21719536,37.088025196109704,0.27037963,-5.795603,0.0046113413,0.9573473893105984,8108,23248.23195528984
1777500,0.41856998,491.68,3555,0.06774036,177750000,0.29100007,37.9671434529482,0.2540577,-5.7734246,-0.0012881256,0.9666914157569408,8270,23254.89407658577
1778000,0.3872639,495.64,3556,0.07357807,177800000,0.1950053,39.019931107499744,0.30902442,-5.78605,0.00042536706,0.9658710733056068,8618,23261.221259832382
1778500,0.41968596,496.71,3557,0.07633143,177850000,0.13954297,39.92474010744367,0.3164701,-5.8036942,0.0021870271,0.9678895473480225,8314,23267.331360578537
1779000,0.35426193,490.68,3558,0.07188448,177900000,0.37976733,39.99539061890036,0.8816896,-5.8155446,0.056878667,0.9507659822702408,8320,23273.889487981796
1779500,0.36386016,495.31,3559,0.07434573,177950000,0.19237968,39.661440960143736,0.15188591,-5.8357906,0.0016043521,0.9619409739971161,8521,23280.202479839325
1780000,0.49327603,498.06,3560,0.0774637,178000000,0.07793962,39.73702084328104,0.21295828,-5.828938,0.0053968634,0.975101126357913,8165,23286.58039999008
1780500,0.47418004,497.18,3561,0.0778716,178050000,0.15556881,40.33563474679973,0.28843746,-5.8127375,0.004473365,0.9522540420293808,8461,23293.00687766075
1781000,0.456372,496.47,3562,0.0764032,178100000,0.1196724,40.15810094115207,1.0354232,-5.7858257,0.0035547242,0.9712681528180838,8453,23299.433719158173
1781500,0.35586205,492.76,3563,0.07131225,178150000,0.25288424,39.5594093514497,0.7035616,-5.8149524,-0.0025337988,0.9654221497476101,8662,23305.767912864685
1782000,0.37494603,496.89,3564,0.07538811,178200000,0.14886984,39.20649585931256,0.2790083,-5.832897,0.0046231374,0.9676819816231728,8447,23312.070557117462
1782500,0.39483392,494.39,3565,0.07594306,178250000,0.18752655,40.70135933561505,0.6850246,-5.849049,0.0036163146,0.961213868111372,8378,23318.52908706665
1783000,0.350496,493.3,3566,0.07562337,178300000,0.20836172,40.8961500150381,0.5164801,-5.8449764,0.0008993675,0.9642782732844353,8436,23324.878710746765
1783500,0.388282,497.38,3567,0.07492831,178350000,0.1695878,38.78613641745944,0.23936433,-5.859423,0.0020368362,0.9617398232221603,8397,23331.285511493683
1784000,0.52358603,494.86,3568,0.07640427,178400000,0.090349846,40.47086895954906,0.28337145,-5.828329,0.010517936,0.9802174419164658,8301,23337.637511491776
1784500,0.374556,493.36,3569,0.06960584,178450000,0.19932419,38.029888809888,0.16157252,-5.7989087,0.001188158,0.9717131797224283,8364,23343.98308491707
1785000,0.3969,492.5,3570,0.06976415,178500000,0.22007908,38.426213148416224,0.39932406,-5.795437,0.002064669,0.9700696785002947,8274,23350.49102282524
1785500,0.44016993,496.77,3571,0.07450417,178550000,0.21865192,38.87161074983373,0.18856315,-5.7950635,0.0031151576,0.9529771730303764,8511,23357.030341863632
1786000,0.4459681,496.93,3572,0.07317087,178600000,0.20271704,38.11783073120848,0.54613537,-5.770979,0.0056909095,0.9613769091665745,8381,23363.48990893364
1786500,0.36743194,493.16,3573,0.070329025,178650000,0.24375972,38.32479817409405,0.27954328,-5.757455,0.0029657746,0.9622516557574272,8240,23369.68202471733
1787000,0.40467805,495.67,3574,0.07477926,178700000,0.19793183,39.4651056625594,0.27327248,-5.7595387,0.0043449663,0.9606753475964069,8180,23376.348434209824
1787500,0.546796,497.37,3575,0.07449607,178750000,0.09699676,38.506514583413605,0.20625946,-5.7659287,0.007173672,0.9778569024056196,8354,23382.68744444847
1788000,0.43005598,495.28,3576,0.073926926,178800000,0.19698066,39.479709210145884,0.3915239,-5.7198467,0.0075814705,0.9693625587970018,8328,23388.954389572144
1788500,0.44658795,493.15,3577,0.07331038,178850000,0.15656628,39.84396871163654,0.17380756,-5.6963286,0.0044114115,0.973171891644597,8046,23395.502722978592
1789000,0.5374479,494.51,3578,0.07414177,178900000,0.15951449,39.59325563273696,0.22747476,-5.70369,0.0026427554,0.9693033285439014,8197,23402.213337183
1789500,0.38502595,495.9,3579,0.07333537,178950000,0.2420706,38.77145066885819,1.2833471,-5.7254558,0.007975803,0.9594819582998753,8294,23408.738080263138
1790000,0.36027607,495.25,3580,0.074617185,179000000,0.17442855,39.778893672264665,0.23092765,-5.749254,-0.0011338332,0.9678933881223202,8135,23415.362943410873
1790500,0.46013805,495.45,3581,0.07688058,179050000,0.19435227,40.72829696772378,0.2269907,-5.7622013,-0.00015901234,0.9565647728741169,8136,23421.975468158722
1791000,0.30131596,496.13,3582,0.071103215,179100000,0.16325001,37.874098077984215,1.7740234,-5.7639604,-3.0284711e-05,0.9726693481206894,8141,23428.61633372307
1791500,0.32783195,490.6,3583,0.06903617,179150000,0.3101197,39.37519577572682,1.1341847,-5.7937346,-0.002212093,0.9665375277400017,8152,23435.00236272812
1792000,0.371242,493.0,3584,0.07240553,179200000,0.23837854,39.601137588289674,0.46554825,-5.825224,0.0008465043,0.9640647321939468,8178,23441.75025868416
1792500,0.42946398,490.12,3585,0.065654494,179250000,0.40444034,37.76530717004593,0.34709674,-5.841337,0.0011311318,0.9592491611838341,8148,23448.397740840912
1793000,0.474144,496.39,3586,0.071615964,179300000,0.18909283,37.645884318437,0.5167825,-5.8415284,0.004872512,0.9694843199104071,8097,23454.992697954178
1793500,0.38604394,494.04,3587,0.067838445,179350000,0.33647963,37.311716388183356,0.35044673,-5.8504095,-0.0004492305,0.9588877260684967,8364,23461.58883881569
1794000,0.631978,494.9,3588,0.07207879,179400000,0.22205776,38.66033958231829,0.3378823,-5.8073506,0.0084178345,0.9620025344192982,8342,23468.09938788414
