serial_timesteps,explained_variance,approxkl,ep_reward_mean,policy_entropy,value_loss,true_reward,policy_loss,fps,total_timesteps,time_elapsed,ep_len_mean,n_updates,clipfrac
491000,0.9414330720901489,0.011759655,42.48380215267247,-0.35072085,0.1553133,0.08256744,-0.0061244327,8341,49100000,6415.045075893402,498.04,982,0.12022799
491500,0.9302699267864227,0.011403604,43.159507689167164,-0.3641647,0.21927908,0.082993604,-0.0049053575,8155,49150000,6421.565258026123,496.84,983,0.13784404
492000,0.8938924670219421,0.012820853,42.96070801429462,-0.36625266,0.2002154,0.08409727,-0.005593543,8173,49200000,6428.28932762146,498.85,984,0.083683975
492500,0.9575178883969784,0.008628644,42.37462540210852,-0.36149028,0.08582594,0.08356621,-0.004752254,8233,49250000,6434.927453517914,498.94,985,0.099036
493000,0.9745289292186499,0.015192229,43.76099843705153,-0.3553993,0.014259014,0.087522,-0.004125997,8465,49300000,6441.2188193798065,500.0,986,0.20971602
493500,0.9746147561818361,0.017332062,42.68164891785864,-0.36214688,0.026270352,0.084949695,-0.005148256,8231,49350000,6447.645619392395,499.6,987,0.22414602
494000,0.9866034910082817,0.01254743,42.840139563085906,-0.36626542,0.010183239,0.085680276,-0.004576838,8303,49400000,6454.334660291672,500.0,988,0.17458993
494500,0.9328267127275467,0.009524951,42.562871900162065,-0.3635573,0.20010132,0.08181847,-0.004334159,8559,49450000,6460.952924489975,497.0,989,0.10002599
495000,0.9414637573063374,0.0119434865,43.07610911321983,-0.36524066,0.0939019,0.08469238,-0.0053466596,8348,49500000,6467.420605659485,498.71,990,0.121312
495500,0.9514604024589062,0.010899259,43.08481145412923,-0.37956774,0.08985689,0.08488543,-0.004974124,8612,49550000,6473.933901548386,498.79,991,0.124375954
496000,0.987728706561029,0.013084246,42.730817111461164,-0.40484866,0.015453936,0.08454412,-0.0045665815,8135,49600000,6480.176916837692,498.99,992,0.177276
496500,0.9477975778281689,0.010603402,42.24717070724464,-0.40734684,0.13117312,0.08265074,-0.0042285263,8646,49650000,6486.973488330841,498.62,993,0.115018025
497000,0.9735944531857967,0.009831239,42.84871544750591,-0.40126055,0.03523425,0.085159846,-0.005364489,8592,49700000,6493.180555105209,499.37,994,0.11458398
